_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,tr_eval_acc_src_data
,315.456644543,0.0,1736878084.4277866,,,,,,0.6150499992370605,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,0.0,
,629.713737457,0.0,1736878398.730679,,,,,,0.6768000011444092,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,1.0,
,939.957912018,0.0,1736878708.9748151,,,,,,0.6726500008106232,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,2.0,
,1250.335022994,0.0,1736879019.351898,,,,,,0.6806000003814697,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,3.0,
,1562.464612427,0.0,1736879331.4347386,,,,,,0.6786500017642975,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,4.0,
,1873.868587079,0.0,1736879642.843017,,,,,,0.6848999998569488,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,5.0,
,2181.432643816,0.0,1736879950.4091277,,,,,,0.678099999666214,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,6.0,
,2491.288637966,0.0,1736880260.2616384,,,,,,0.6784999988079071,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,7.0,
,2799.320080905,0.0,1736880568.3367126,,,,,,0.6794999988079071,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,8.0,
,3114.668602957,0.0,1736880883.643273,,,,,,0.676649998664856,,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters,9.0,
