_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.545373916625977,0.0,1741007567.875247,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
1,10.036170721054077,0.0,1741007570.3660438,0.4595,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
2,10.054862260818481,0.0,1741007570.3847353,,1.377576231956482,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
3,10.144780158996582,0.0,1741007570.4746532,,1.3731154203414917,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
4,10.155665397644043,0.0,1741007570.4855385,,1.3752399682998657,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
5,10.165053606033325,0.0,1741007570.4949267,,1.3745696544647217,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
6,10.174400329589844,0.0,1741007570.5042734,,1.3772850036621094,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
7,10.183451652526855,0.0,1741007570.5133247,,1.4342737197875977,0.875,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
8,10.192502737045288,0.0,1741007570.5223758,,1.3704599142074585,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
9,10.202124118804932,0.0,1741007570.5319972,,1.3712821006774902,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
10,10.21145486831665,0.0,1741007570.541328,,1.3721261024475098,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
11,10.220385074615479,0.0,1741007570.5502582,,1.3752084970474243,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
12,10.229331016540527,0.0,1741007570.559204,,1.3707493543624878,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
13,10.239228010177612,0.0,1741007570.569101,,1.3704662322998047,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
14,10.248536348342896,0.0,1741007570.5784094,,1.3798059225082397,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
15,10.259589195251465,0.0,1741007570.5894623,,1.374136209487915,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
16,10.269651889801025,0.0,1741007570.599525,,1.3700764179229736,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
17,10.279661893844604,0.0,1741007570.609535,,1.3705840110778809,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
18,10.288817167282104,0.0,1741007570.6186903,,1.3763434886932373,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
19,10.297661542892456,0.0,1741007570.6275346,,1.37497079372406,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
20,10.30645489692688,0.0,1741007570.636328,,1.4286538362503052,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
21,10.317188262939453,0.0,1741007570.6470613,,1.3695909976959229,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
22,10.32650113105774,0.0,1741007570.6563742,,1.3705886602401733,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
23,10.335346698760986,0.0,1741007570.6652198,,1.3743257522583008,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
24,10.344132900238037,0.0,1741007570.674006,,1.3695769309997559,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
25,10.35462999343872,0.0,1741007570.684503,,1.4276047945022583,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
26,10.364129543304443,0.0,1741007570.6940026,,1.3737597465515137,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
27,10.374109268188477,0.0,1741007570.7039824,,1.368474006652832,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
28,10.383106470108032,0.0,1741007570.7129796,,1.3727296590805054,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
29,10.393812894821167,0.0,1741007570.723686,,1.3721070289611816,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
30,10.403077125549316,0.0,1741007570.7329502,,1.3691800832748413,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
31,10.41199541091919,0.0,1741007570.7418685,,1.3702514171600342,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
32,10.420877456665039,0.0,1741007570.7507505,,1.3733181953430176,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
