_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,18.69157862663269,0.0,1741007725.5829365,,,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
1,45.203073263168335,0.0,1741007752.0944312,0.9042499995231629,,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
2,45.2308783531189,0.0,1741007752.1222363,,0.15238137543201447,0.925000011920929,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
3,45.32967567443848,0.0,1741007752.2210336,,0.08832144737243652,0.9750000238418579,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
4,45.3717520236969,0.0,1741007752.26311,,0.07098564505577087,0.9750000238418579,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
5,45.408535957336426,0.0,1741007752.2998939,,0.050302810966968536,0.987500011920929,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
6,45.443662881851196,0.0,1741007752.3350208,,0.04536982625722885,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
7,45.4786217212677,0.0,1741007752.3699796,,0.03146582096815109,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
8,45.5138521194458,0.0,1741007752.40521,,0.013316743075847626,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
9,45.54753017425537,0.0,1741007752.438888,,0.010339643806219101,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
10,45.581825494766235,0.0,1741007752.4731834,,0.005543996579945087,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
11,45.618489027023315,0.0,1741007752.509847,,0.0020076639484614134,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
12,45.65698266029358,0.0,1741007752.5483406,,0.001274014008231461,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
13,45.69374966621399,0.0,1741007752.5851076,,0.001781820086762309,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
14,45.727782249450684,0.0,1741007752.6191401,,0.0010093955788761377,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
15,45.76155424118042,0.0,1741007752.6529121,,0.0009102807380259037,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
16,45.79558610916138,0.0,1741007752.686944,,0.000561277091037482,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
17,45.829312801361084,0.0,1741007752.7206707,,0.00033726537367329,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
18,45.87107491493225,0.0,1741007752.7624328,,0.0005189096555113792,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
19,45.90497136116028,0.0,1741007752.7963293,,0.0003694247279781848,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
20,45.93837523460388,0.0,1741007752.8297331,,0.00015545552014373243,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
