_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.784089121,0.0,1739268522.8954985,,,,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
1,15.135893415,0.0,1739268531.247461,0.60925,,,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
2,15.149569859,0.0,1739268531.2610846,,0.8935232162475586,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
3,15.227807028,0.0,1739268531.3392303,,0.8011211156845093,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
4,15.245555332,0.0,1739268531.3571064,,0.8757783770561218,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
5,15.268216448,0.0,1739268531.3797436,,0.7634515166282654,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
6,15.286761454,0.0,1739268531.3983061,,0.7885990738868713,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
7,15.302500921,0.0,1739268531.4140432,,0.7981902360916138,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
8,15.318475267,0.0,1739268531.4300246,,0.8579273223876953,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
9,15.334263665,0.0,1739268531.445829,,0.7093852758407593,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
10,15.349753783,0.0,1739268531.461307,,0.7373629808425903,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
11,15.365568666,0.0,1739268531.4771104,,0.7173864841461182,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
12,15.381606288,0.0,1739268531.4931605,,0.8612368106842041,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
13,15.397527086,0.0,1739268531.509075,,0.6933953166007996,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
14,15.415029202,0.0,1739268531.5265934,,0.7591658234596252,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
15,15.43080772,0.0,1739268531.5423489,,0.7384000420570374,0.8125,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
16,15.446575548,0.0,1739268531.5581264,,0.7388191223144531,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
17,15.463377054,0.0,1739268531.574938,,0.7413216233253479,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
18,15.479023061,0.0,1739268531.5905817,,0.7087845802307129,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
19,15.494750191,0.0,1739268531.6063166,,0.7029245495796204,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
20,15.510768279,0.0,1739268531.6223118,,0.7028145790100098,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
21,15.526611805,0.0,1739268531.638099,,0.7036553621292114,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
22,15.542218731,0.0,1739268531.6537695,,0.7260661721229553,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
23,15.557873205,0.0,1739268531.6694355,,0.6775476932525635,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
24,15.573412779,0.0,1739268531.684964,,0.7197045683860779,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
25,15.589262553,0.0,1739268531.700814,,0.7071778178215027,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
26,15.605089831,0.0,1739268531.7165658,,0.7168933153152466,0.875,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
27,15.620397401,0.0,1739268531.731873,,0.6925485134124756,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
28,15.635599084999999,0.0,1739268531.7471552,,0.6861493587493896,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
29,15.650984545,0.0,1739268531.7625434,,0.722519040107727,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
30,15.666147274,0.0,1739268531.7777112,,0.7001034021377563,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
31,15.681909851,0.0,1739268531.793463,,0.669192910194397,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
32,15.697476454,0.0,1739268531.8090427,,0.6620190739631653,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
33,15.713158047,0.0,1739268531.824724,,0.6250567436218262,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
34,15.728750862,0.0,1739268531.840312,,0.6413047313690186,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
35,15.744343419,0.0,1739268531.8559022,,0.6732070446014404,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
36,15.759934171,0.0,1739268531.871502,,0.6586831212043762,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
37,15.777051614,0.0,1739268531.8886182,,0.6634302139282227,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
38,15.793949069,0.0,1739268531.905474,,0.6484959721565247,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
39,15.809744774,0.0,1739268531.921294,,0.642906665802002,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
40,15.826141096,0.0,1739268531.9376876,,0.6517373323440552,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
41,15.842667091,0.0,1739268531.9542193,,0.6253287196159363,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
42,15.858786769,0.0,1739268531.9703374,,0.63018399477005,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
43,15.874463136,0.0,1739268531.986005,,0.6661025881767273,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
44,15.890000262000001,0.0,1739268532.0015447,,0.6395137906074524,1.0,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
45,15.905435029,0.0,1739268532.0169888,,0.6559223532676697,0.9375,0.001,1,16,40x40,MatchingNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
