_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.668735048,0.0,1739247655.292126,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
1,366.054518012,0.0,1739248014.6375942,0.8803333342075348,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
2,366.054565083,0.0,1739248014.6571991,,0.0680653303861618,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
3,366.137273375,0.0,1739248014.7606845,,0.03912109136581421,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
4,366.178495965,0.0,1739248014.801872,,0.01702020689845085,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
5,366.220891568,0.0,1739248014.8442886,,0.002579418243840337,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
6,366.26289072,0.0,1739248014.88632,,0.001527130021713674,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
7,366.288579342,0.0,1739248014.9120073,,0.0007893301080912352,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
8,366.321695907,0.0,1739248014.9451032,,0.00029868315323255956,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
9,366.360033023,0.0,1739248014.9834707,,5.6012821005424485e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
10,366.395154188,0.0,1739248015.0184698,,8.226788486354053e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
11,366.423847015,0.0,1739248015.047272,,7.519144128309563e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
12,366.450247951,0.0,1739248015.073618,,4.7887006076052785e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,3,Greek,BreaKHis_formatted,False,5,4000,5,exp1_permuted_src_datasets
