_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,61.414081958,0.0,1739235163.6374362,,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
1,61.580990717,0.0,1739235163.8042018,0.0,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
2,62.480062905,0.0,1739235164.703162,,54.618656158447266,0.3541666567325592,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
3,62.480109739,0.0,1739235164.703446,,,,0.001,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
4,62.786065473,0.0,1739235165.0092192,,35.10067367553711,0.3333333432674408,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
5,62.786105476,0.0,1739235165.0094144,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
6,63.049006948,0.0,1739235165.2722576,,20.48440170288086,0.4375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
7,63.049041519,0.0,1739235165.2724154,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
8,63.428771209,0.0,1739235165.651907,,13.011025428771973,0.4375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
9,63.428835906,0.0,1739235165.6521273,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
10,63.691961773,0.0,1739235165.9152858,,5.295773029327393,0.4375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
11,63.691999491,0.0,1739235165.9154258,,,,0.000999990000065,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
12,63.928360073,0.0,1739235166.151637,,5.378000259399414,0.3958333432674408,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
13,63.928393839,0.0,1739235166.151799,,,,0.0009999850001399992,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
14,64.215577102,0.0,1739235166.4388876,,5.037925720214844,0.4375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
15,64.215608705,0.0,1739235166.4390283,,,,0.0009999790002659977,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
16,64.505127194,0.0,1739235166.7283914,,3.1162455081939697,0.3958333432674408,,,,,,0.001,1,16,40x40,PrototypicalNetwork,3,3,b-59-850,BreaKHis_formatted,False,1,4000,5,exp1_permuted_src_datasets
