_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,60.23429322,0.0,1739220216.0927212,,,,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
1,60.393787515,0.0,1739220216.2522397,0.0,,,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
2,60.846177854,0.0,1739220216.7047503,,24.928144454956055,0.8541666865348816,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
3,60.846208524,0.0,1739220216.7049017,,,,0.001,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
4,61.355698336,0.0,1739220217.214233,,9.189029270828541e-08,1.0,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
5,61.355730271,0.0,1739220217.214443,,,,0.0009999990000010002,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
6,61.864431594,0.0,1739220217.7229838,,1.2987723350524902,0.9375,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
7,61.864466643,0.0,1739220217.7231445,,,,0.0009999970000070001,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
8,62.243262847,0.0,1739220218.1018233,,5.480665683746338,0.9166666865348816,,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
9,62.243285252,0.0,1739220218.1020002,,,,0.0009999940000250001,,,,,0.001,1,16,84x84,PrototypicalNetwork,3,3,BreaKHis_formatted,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
