_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.76057056,2.0,1739032568.772957,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
1,31.393545991,2.0,1739032593.3653514,0.9385,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
2,31.39855478,2.0,1739032593.410943,,0.5016524195671082,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
3,31.547824022,2.0,1739032593.560027,,0.47840553522109985,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
4,31.634232554,2.0,1739032593.6464581,,0.5017258524894714,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
5,31.720651781,2.0,1739032593.732907,,0.5856927633285522,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
6,31.823154329,2.0,1739032593.8353999,,0.5193897485733032,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
7,31.912116407,2.0,1739032593.9244113,,0.5115349292755127,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
8,31.98810755,2.0,1739032594.0003886,,0.45917975902557373,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
9,32.07267452,2.0,1739032594.084887,,0.45563849806785583,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
10,32.184411401,2.0,1739032594.196686,,0.541711151599884,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
11,32.302275444,2.0,1739032594.3143957,,0.546621561050415,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
12,32.381521525,2.0,1739032594.3938017,,0.529191255569458,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
13,32.455936828,2.0,1739032594.4682088,,0.4521389305591583,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
14,32.571333329,2.0,1739032594.583536,,0.4399009048938751,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
15,32.692162374,2.0,1739032594.704354,,0.377385675907135,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
16,32.779960812,2.0,1739032594.792183,,0.47822344303131104,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
17,32.86185903,2.0,1739032594.8740063,,0.3970247209072113,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
18,32.946785645,2.0,1739032594.959049,,0.4586377739906311,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
19,33.037556594,2.0,1739032595.049834,,0.3992064297199249,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
20,33.134651288,2.0,1739032595.1469402,,0.4298533797264099,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
21,33.256420448,2.0,1739032595.2686403,,0.3764801323413849,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
22,33.37170462,2.0,1739032595.38398,,0.43660593032836914,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
23,33.427225175,2.0,1739032595.4395707,,0.39326298236846924,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
24,33.529115701,2.0,1739032595.5413861,,0.39607441425323486,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
25,33.629721215000004,2.0,1739032595.6419806,,0.3150970935821533,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
26,33.747069933,2.0,1739032595.7592962,,0.4021460711956024,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
27,33.838865702,2.0,1739032595.8511684,,0.35364994406700134,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
28,33.951791511,2.0,1739032595.9639513,,0.36216238141059875,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
29,34.047220004,2.0,1739032596.0595214,,0.4123077988624573,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
30,34.15909075,2.0,1739032596.1713388,,0.3427871763706207,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
31,34.259715976,2.0,1739032596.2718046,,0.45196714997291565,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
32,34.374962943,2.0,1739032596.3871844,,0.3779076635837555,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
33,34.489825608,2.0,1739032596.5021126,,0.4155273735523224,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
34,34.577068673,2.0,1739032596.5893188,,0.32157790660858154,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
35,34.644406577,2.0,1739032596.656663,,0.38674262166023254,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
36,34.719273477,2.0,1739032596.7314594,,0.3593742251396179,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
37,34.823961122,2.0,1739032596.836209,,0.3718715310096741,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
38,34.939510495,2.0,1739032596.9517195,,0.3178320825099945,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
39,35.068748159,2.0,1739032597.080984,,0.31849855184555054,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
40,35.175715504,2.0,1739032597.1880443,,0.31577742099761963,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
41,35.245615169,2.0,1739032597.257913,,0.3257215917110443,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
42,35.351388755,2.0,1739032597.363656,,0.33082517981529236,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
43,35.459774192,2.0,1739032597.472063,,0.37312591075897217,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
44,35.568300165,2.0,1739032597.5805922,,0.2755133807659149,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
45,35.682939198,2.0,1739032597.6951752,,0.27813851833343506,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,10,4000,5,exp1_permuted_src_datasets
