_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,39.123714402,2.0,1739004906.8260112,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
1,70.008188701,2.0,1739004937.7105603,0.626,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
2,70.032361548,2.0,1739004937.7345042,,1.421062707901001,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
3,70.12909597,2.0,1739004937.8313484,,1.376208782196045,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
4,70.150869497,2.0,1739004937.8530858,,1.381168007850647,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
5,70.178182122,2.0,1739004937.8803442,,1.4355781078338623,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
6,70.204552061,2.0,1739004937.9068465,,1.3824800252914429,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
7,70.228390568,2.0,1739004937.9307277,,1.3842798471450806,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
8,70.253256372,2.0,1739004937.9555383,,1.379563808441162,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
9,70.279691798,2.0,1739004937.9819052,,1.3775708675384521,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
10,70.305438849,2.0,1739004938.0076993,,1.372800588607788,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
11,70.33186196,2.0,1739004938.0341325,,1.3808945417404175,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
12,70.359035522,2.0,1739004938.0610788,,1.3850386142730713,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
13,70.384927664,2.0,1739004938.0871646,,1.376084566116333,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
14,70.414347029,2.0,1739004938.1166267,,1.377410650253296,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
15,70.444012943,2.0,1739004938.146276,,1.3747519254684448,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
16,70.487668882,2.0,1739004938.1757283,,1.3749178647994995,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
17,70.499653357,2.0,1739004938.2018921,,1.3722940683364868,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
18,70.528015534,2.0,1739004938.2302697,,1.374990463256836,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
19,70.572356948,2.0,1739004938.2745895,,1.3727591037750244,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
20,70.602181285,2.0,1739004938.3042583,,1.4294639825820923,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
21,70.633018804,2.0,1739004938.3351727,,1.3742307424545288,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
22,70.662464616,2.0,1739004938.3647208,,1.3798900842666626,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
23,70.69230263,2.0,1739004938.3944366,,1.379608154296875,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
24,70.722065195,2.0,1739004938.4242392,,1.371059775352478,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
25,70.751297916,2.0,1739004938.4534888,,1.4310680627822876,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
26,70.775267176,2.0,1739004938.477475,,1.3733909130096436,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
27,70.804129084,2.0,1739004938.506432,,1.37124764919281,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
28,70.828875836,2.0,1739004938.5312014,,1.3734575510025024,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
29,70.85759697,2.0,1739004938.5598433,,1.3707623481750488,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
30,70.882093324,2.0,1739004938.584339,,1.373918056488037,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
31,70.910007952,2.0,1739004938.6122441,,1.3695940971374512,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
32,70.938328677,2.0,1739004938.6405535,,1.371152639389038,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
33,70.968271402,2.0,1739004938.6704884,,1.3695521354675293,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
34,70.997026706,2.0,1739004938.6992676,,1.4333223104476929,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
35,71.023856967,2.0,1739004938.7261508,,1.3724809885025024,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
36,71.047274355,2.0,1739004938.7495158,,1.3741016387939453,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
37,71.073059847,2.0,1739004938.7753646,,1.429484248161316,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
