_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,45.861665111,2.0,1738967184.910244,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
1,1073.005300337,2.0,1738968212.0096483,0.9173499982357025,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
2,1073.036366271,2.0,1738968212.0849435,,8.563142182538286e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
3,1073.196007882,2.0,1738968212.244578,,7.720210305706132e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
4,1073.306331223,2.0,1738968212.354896,,2.5421254576940555e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
5,1073.400118329,2.0,1738968212.4486976,,1.0907629075518344e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
6,1073.483859073,2.0,1738968212.5324786,,1.0877818112930981e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
7,1073.564284418,2.0,1738968212.6128407,,5.602827855000214e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
8,1073.637947381,2.0,1738968212.686531,,3.382561430953501e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
9,1073.712984437,2.0,1738968212.7616177,,3.188847017554508e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,5,4000,5,exp1_permuted_src_datasets
