_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.90249412,2.0,1738965997.9499805,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
1,12.015525697,2.0,1738966005.0630832,0.5745,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
2,12.040988731,2.0,1738966005.088284,,1.414491891860962,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
3,12.166117029,2.0,1738966005.212697,,1.3879369497299194,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
4,12.190477694,2.0,1738966005.2378814,,1.3889636993408203,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
5,12.21920952,2.0,1738966005.2666755,,1.3827874660491943,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
6,12.241067441,2.0,1738966005.2883892,,1.3800081014633179,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
7,12.26471858,2.0,1738966005.3106842,,1.3786643743515015,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
8,12.287380127,2.0,1738966005.334841,,1.3789958953857422,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
9,12.311510761,2.0,1738966005.358392,,1.383927345275879,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
10,12.335177211,2.0,1738966005.3826003,,1.3817492723464966,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
11,12.363960736,2.0,1738966005.409421,,1.3786792755126953,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
12,12.386383396,2.0,1738966005.4337173,,1.3742283582687378,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
13,12.413410623,2.0,1738966005.4588928,,1.433963656425476,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
14,12.440740517,2.0,1738966005.487912,,1.3749531507492065,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
15,12.464823926,2.0,1738966005.5122778,,1.3712750673294067,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
16,12.493688793,2.0,1738966005.540943,,1.3739427328109741,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
17,12.523940171,2.0,1738966005.5713382,,1.3734657764434814,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
18,12.545098988,2.0,1738966005.5924964,,1.3709208965301514,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
19,12.569007436,2.0,1738966005.6160748,,1.3761991262435913,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
20,12.590396324,2.0,1738966005.6376655,,1.3760392665863037,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
21,12.616902695,2.0,1738966005.6643126,,1.3735811710357666,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
