_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.633281334,2.0,1738940852.192961,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
1,179.525040662,2.0,1738941027.0848007,0.587000001192093,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
2,179.549261476,2.0,1738941027.1088362,,2.805879603329231e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
3,179.925575725,2.0,1738941027.4852026,,1.743435547041372e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
4,179.956965759,2.0,1738941027.5166314,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
5,179.999884382,2.0,1738941027.5594287,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
6,180.039931827,2.0,1738941027.599552,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
7,180.085647402,2.0,1738941027.6452808,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
8,180.127439744,2.0,1738941027.6870353,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
9,180.172056531,2.0,1738941027.7316332,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
10,180.208389904,2.0,1738941027.767904,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
11,180.256644872,2.0,1738941027.8161976,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
12,180.308287249,2.0,1738941027.8678937,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
13,180.351405191,2.0,1738941027.9109666,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
14,180.397910087,2.0,1738941027.9575093,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
15,180.43716391,2.0,1738941027.996773,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
16,180.483906717,2.0,1738941028.043455,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
17,180.53431045600001,2.0,1738941028.0938432,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
18,180.586773028,2.0,1738941028.146333,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
19,180.631787431,2.0,1738941028.1914196,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
20,180.668663552,2.0,1738941028.2282603,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
21,180.713356894,2.0,1738941028.2729304,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
22,180.751550282,2.0,1738941028.311198,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
23,180.791969849,2.0,1738941028.3516047,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
24,180.841957827,2.0,1738941028.401532,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
25,180.882399351,2.0,1738941028.4420402,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
26,180.92651636,2.0,1738941028.4862444,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
27,180.964681844,2.0,1738941028.5243387,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
28,181.001598125,2.0,1738941028.5612307,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
29,181.040506448,2.0,1738941028.6001613,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
30,181.082951803,2.0,1738941028.6426003,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
31,181.130345304,2.0,1738941028.689972,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
32,181.173717468,2.0,1738941028.7333505,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
33,181.221614322,2.0,1738941028.7812567,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
34,181.261827451,2.0,1738941028.8214118,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
35,181.298615896,2.0,1738941028.8582075,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
36,181.347598348,2.0,1738941028.9071531,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
37,181.388052031,2.0,1738941028.9476495,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
38,181.437273538,2.0,1738941028.9968455,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
39,181.485431648,2.0,1738941029.0449681,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
40,181.521226669,2.0,1738941029.080786,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
41,181.554649602,2.0,1738941029.1142693,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
42,181.594573931,2.0,1738941029.1540976,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
43,181.638362287,2.0,1738941029.1979778,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
44,181.689656324,2.0,1738941029.249215,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
45,181.735679949,2.0,1738941029.2952445,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
46,181.776699328,2.0,1738941029.3362494,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
47,181.820389397,2.0,1738941029.3800032,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
48,181.859893467,2.0,1738941029.4194927,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
49,181.908088818,2.0,1738941029.4676225,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
50,181.950318021,2.0,1738941029.5098858,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
51,181.991386943,2.0,1738941029.550851,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
52,182.039201306,2.0,1738941029.5987775,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
53,182.084463687,2.0,1738941029.644024,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
