_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.812489891,2.0,1739041853.2866607,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
1,12.904438074,2.0,1739041865.378854,0.81725,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
2,12.950780439,2.0,1739041865.4250355,,0.45520371198654175,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
3,13.110572478,2.0,1739041865.584685,,0.5567975640296936,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
4,13.216936256,2.0,1739041865.6911447,,0.6258319020271301,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
5,13.328565334,2.0,1739041865.802717,,0.5003165006637573,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
6,13.430124117,2.0,1739041865.9042826,,0.48614880442619324,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
7,13.502214727,2.0,1739041865.9759793,,0.6026790142059326,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
8,13.589320405,2.0,1739041866.0635138,,0.5002872347831726,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
9,13.648582462,2.0,1739041866.12279,,0.5654945969581604,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
10,13.761762429000001,2.0,1739041866.235874,,0.38792628049850464,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
11,13.88543475,2.0,1739041866.3594825,,0.5185009837150574,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
12,13.992768222,2.0,1739041866.4669585,,0.49205952882766724,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
13,14.112144199,2.0,1739041866.5862727,,0.47131407260894775,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
14,14.208036179,2.0,1739041866.6821125,,0.36973798274993896,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
15,14.342292602,2.0,1739041866.8164608,,0.38455313444137573,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
16,14.467044552,2.0,1739041866.941141,,0.4646857678890228,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
17,14.57811202,2.0,1739041867.0522392,,0.4793303608894348,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
18,14.675871858,2.0,1739041867.1501274,,0.4377037584781647,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
19,14.799234663,2.0,1739041867.2733645,,0.4424433708190918,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
20,14.92036958,2.0,1739041867.3945408,,0.4827611744403839,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
21,15.0467518,2.0,1739041867.5208135,,0.41192856431007385,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
22,15.133241721,2.0,1739041867.6074333,,0.4118857979774475,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
23,15.233564513,2.0,1739041867.707757,,0.3461940884590149,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
24,15.341649861,2.0,1739041867.815901,,0.4227914810180664,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
25,15.447644722,2.0,1739041867.921817,,0.44374996423721313,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
26,15.561306317,2.0,1739041868.0355494,,0.4347989559173584,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
27,15.67159315,2.0,1739041868.1457424,,0.4111754596233368,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
28,15.77540316,2.0,1739041868.249561,,0.3342590928077698,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
29,15.894648469,2.0,1739041868.3687909,,0.3701503574848175,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
30,16.022840506,2.0,1739041868.4968867,,0.36518383026123047,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
31,16.113945766,2.0,1739041868.5881476,,0.3471149206161499,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
32,16.203623338,2.0,1739041868.6777859,,0.35043779015541077,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
33,16.310144507,2.0,1739041868.784271,,0.4655386805534363,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
34,16.378103383,2.0,1739041868.852308,,0.42849892377853394,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
35,16.473218904,2.0,1739041868.947427,,0.3659437298774719,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
36,16.565540519,2.0,1739041869.0396807,,0.3153820335865021,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
37,16.658516682,2.0,1739041869.1327357,,0.3271629810333252,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
38,16.763908321,2.0,1739041869.2381084,,0.28879496455192566,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
39,16.8334633,2.0,1739041869.3076465,,0.36174091696739197,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
40,16.927100891,2.0,1739041869.401279,,0.38392025232315063,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
41,16.994631884,2.0,1739041869.468797,,0.4604472517967224,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
42,17.078440719,2.0,1739041869.5525963,,0.3441680073738098,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
43,17.147419132,2.0,1739041869.6216238,,0.27819135785102844,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
44,17.242022606,2.0,1739041869.7162178,,0.33655673265457153,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
45,17.359364688,2.0,1739041869.8333256,,0.3618554472923279,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
46,17.432683946,2.0,1739041869.9068651,,0.3499746322631836,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
47,17.551961926,2.0,1739041870.025919,,0.3639439344406128,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
48,17.667638490999998,2.0,1739041870.1417701,,0.3768656551837921,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
49,17.769312532,2.0,1739041870.243491,,0.3613892197608948,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
50,17.874054298,2.0,1739041870.348203,,0.2724965810775757,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
51,17.942981448,2.0,1739041870.4172041,,0.28467386960983276,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
52,18.009381399,2.0,1739041870.483568,,0.38168230652809143,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,5,exp1_permuted_src_datasets
