_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,37.421776562,2.0,1739080392.4742393,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
1,58.689384545,2.0,1739080413.7418718,0.76425,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
2,58.72923157,2.0,1739080413.7815702,,0.9720820784568787,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
3,58.861548212,2.0,1739080413.91385,,0.9405882358551025,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
4,58.909789408,2.0,1739080413.9621933,,0.9249276518821716,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
5,58.955808621,2.0,1739080414.0082285,,0.9179129600524902,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
6,59.002793852,2.0,1739080414.054913,,0.8701947331428528,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
7,59.056612947,2.0,1739080414.1089106,,0.924046516418457,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
8,59.108003237,2.0,1739080414.1603165,,0.8927120566368103,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
9,59.145390385,2.0,1739080414.1977644,,0.8545352816581726,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
10,59.182110974,2.0,1739080414.2344291,,0.8839104175567627,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
11,59.22058371,2.0,1739080414.2727063,,0.820981502532959,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
12,59.268192847,2.0,1739080414.320058,,0.8595359921455383,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
13,59.315564507,2.0,1739080414.367771,,0.8156010508537292,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
14,59.361149701,2.0,1739080414.4122248,,0.9176874756813049,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
15,59.410778866,2.0,1739080414.4614477,,0.851207435131073,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
16,59.463253247,2.0,1739080414.515568,,0.7900740504264832,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
17,59.502929157,2.0,1739080414.5549898,,0.7810624837875366,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
18,59.549683225,2.0,1739080414.6019926,,0.7929016947746277,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
19,59.582235593,2.0,1739080414.6345398,,0.7810155153274536,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
20,59.615424823,2.0,1739080414.6677442,,0.7952198386192322,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
21,59.648407761,2.0,1739080414.7007997,,0.7725865244865417,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
22,59.68146042,2.0,1739080414.7337852,,0.7433721423149109,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
23,59.723664365,2.0,1739080414.776011,,0.7751560807228088,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
24,59.757465665,2.0,1739080414.8097234,,0.7505587339401245,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
25,59.791389351,2.0,1739080414.8422647,,0.7486754655838013,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
26,59.827647046,2.0,1739080414.8799124,,0.8290315866470337,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
27,59.860264847,2.0,1739080414.912674,,0.7433024048805237,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
28,59.916602269,2.0,1739080414.9688902,,0.7494049072265625,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
29,59.956498653,2.0,1739080415.008804,,0.7754942774772644,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
30,59.991986297,2.0,1739080415.0443747,,0.7679821848869324,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
31,60.035540745,2.0,1739080415.087673,,0.7962999939918518,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
32,60.081315481,2.0,1739080415.1336124,,0.6984565854072571,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
33,60.119045601,2.0,1739080415.1714113,,0.8356032371520996,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
34,60.177020427,2.0,1739080415.2293391,,0.7690675854682922,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
35,60.225449048,2.0,1739080415.277543,,0.6955634951591492,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
36,60.268168575,2.0,1739080415.3205197,,0.7219640612602234,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
37,60.30183673,2.0,1739080415.352531,,0.6815826892852783,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
38,60.34241042,2.0,1739080415.3947148,,0.6782493591308594,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
39,60.384623416,2.0,1739080415.4363189,,0.7511743903160095,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
40,60.423613053,2.0,1739080415.475962,,0.7456768155097961,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
41,60.48546093,2.0,1739080415.5289974,,0.7662917375564575,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
42,60.523850343,2.0,1739080415.5761027,,0.7198255062103271,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
43,60.565018388,2.0,1739080415.6158276,,0.7215114831924438,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
44,60.616879131,2.0,1739080415.6691399,,0.7146598696708679,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
45,60.669530197,2.0,1739080415.708621,,0.744873583316803,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
