_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,39.135215348,2.0,1739046253.0264442,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
1,1013.258859483,2.0,1739047227.1050115,0.8855000004768372,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
2,1013.277428661,2.0,1739047227.168554,,0.0013185106217861176,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
3,1013.443430308,2.0,1739047227.334517,,0.00030175907886587083,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
4,1013.540878174,2.0,1739047227.432059,,0.0001861726341303438,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
5,1013.614795405,2.0,1739047227.5058525,,7.337658462347463e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
6,1013.706625748,2.0,1739047227.597731,,3.859035859932192e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
7,1013.787468947,2.0,1739047227.678631,,1.327664176642429e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
8,1013.870093414,2.0,1739047227.7612164,,1.562931174703408e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
9,1013.965692874,2.0,1739047227.85679,,1.041427913150983e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
10,1014.043396973,2.0,1739047227.9345083,,6.4565911088720895e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
11,1014.119708896,2.0,1739047228.0108256,,1.8328388478039415e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
12,1014.190006327,2.0,1739047228.0811417,,1.9013823475688696e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
13,1014.262812609,2.0,1739047228.1538215,,9.506924243396497e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
14,1014.325284711,2.0,1739047228.216421,,1.1026762649635202e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
15,1014.413089714,2.0,1739047228.3041477,,6.258481448639941e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
16,1014.484002383,2.0,1739047228.3750439,,2.9504263920898666e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
17,1014.589731804,2.0,1739047228.4808407,,3.4272648008482065e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
18,1014.669471915,2.0,1739047228.5606139,,2.3692837203270756e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
19,1014.742132074,2.0,1739047228.633294,,2.56299756529188e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
20,1014.838223841,2.0,1739047228.7293148,,2.7567128313421563e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
21,1014.929767531,2.0,1739047228.820863,,3.5464717029753956e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
22,1015.026931972,2.0,1739047228.9179144,,1.847741657456936e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
23,1015.108344247,2.0,1739047228.9995167,,9.387726151999232e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
24,1015.19563313,2.0,1739047229.0868125,,3.457060984146665e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
25,1015.27515805,2.0,1739047229.1662889,,1.7434338417388062e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
26,1015.369255609,2.0,1739047229.2603698,,6.70552182668871e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
27,1015.448613644,2.0,1739047229.3397627,,1.9818526197923347e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
28,1015.534075545,2.0,1739047229.4251826,,9.089706765053052e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
29,1015.6171684,2.0,1739047229.508333,,6.407498887028851e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
30,1015.707421317,2.0,1739047229.5984688,,1.0132786343319822e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
31,1015.791541645,2.0,1739047229.682583,,6.854532585975903e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
32,1015.882309422,2.0,1739047229.7734864,,1.0579812936839517e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
33,1015.98457105,2.0,1739047229.8756351,,8.344647994817933e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
34,1016.081751448,2.0,1739047229.9728103,,5.8114515866236616e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
35,1016.178830999,2.0,1739047230.0698695,,3.725289587919178e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
36,1016.268963581,2.0,1739047230.1600246,,5.5134290022351706e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
37,1016.366498825,2.0,1739047230.2575397,,6.556508225230573e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
38,1016.444947717,2.0,1739047230.3360813,,7.450578465295621e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
39,1016.52050753,2.0,1739047230.4116096,,5.811450520809558e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
40,1016.594247731,2.0,1739047230.4853666,,3.576278118089249e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
41,1016.685363843,2.0,1739047230.5764952,,4.76837058727142e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
42,1016.764060187,2.0,1739047230.655161,,4.470347292340193e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
43,1016.85198461,2.0,1739047230.743117,,2.384185648907078e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
44,1016.935840833,2.0,1739047230.8269174,,4.023312882850405e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
45,1017.03565551,2.0,1739047230.9267638,,4.917382767644085e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
46,1017.127435714,2.0,1739047231.0185158,,7.599585671869136e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
47,1017.231491458,2.0,1739047231.1225457,,2.2351740014414645e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
48,1017.305405287,2.0,1739047231.196505,,3.4272666482593195e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
49,1017.384955807,2.0,1739047231.2760763,,5.0663942374740145e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
50,1017.484982346,2.0,1739047231.3760464,,1.9371507065102378e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
51,1017.571186579,2.0,1739047231.4622204,,8.940696183401542e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
52,1017.648905971,2.0,1739047231.539983,,1.7285324815929926e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
53,1017.729066777,2.0,1739047231.6201916,,4.9173813465586136e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
54,1017.831268391,2.0,1739047231.7223425,,1.1026854451756662e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
55,1017.921927674,2.0,1739047231.8130128,,1.639127589214695e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
56,1017.995978359,2.0,1739047231.88704,,1.0132780658977936e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,5,exp1_permuted_src_datasets
