_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.879081789,2.0,1739034389.6542754,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
1,1156.872965381,2.0,1739035541.6483839,0.8568499991893769,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
2,1157.043752731,2.0,1739035541.8189912,,0.0639943927526474,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
3,1157.38860356,2.0,1739035542.1638725,,0.0034558004699647427,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
4,1157.549560251,2.0,1739035542.3248482,,0.0012291412567719817,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
5,1157.774527457,2.0,1739035542.5497432,,0.001092500169761479,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
6,1157.983607929,2.0,1739035542.75882,,0.010594035498797894,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
7,1158.185757713,2.0,1739035542.960963,,0.0007464978843927383,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
8,1158.439357604,2.0,1739035543.2145877,,0.000468408630695194,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
9,1158.720325008,2.0,1739035543.495611,,0.0005232825642451644,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
10,1158.905985234,2.0,1739035543.6813223,,0.000453185144579038,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
11,1159.0792084,2.0,1739035543.8544428,,0.0012717510107904673,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
12,1159.29810899,2.0,1739035544.0733516,,0.0006366114830598235,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
13,1159.522822642,2.0,1739035544.2979896,,0.000365742773283273,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
14,1159.699754943,2.0,1739035544.4749653,,0.00037061446346342564,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
15,1159.915506459,2.0,1739035544.6906838,,0.0003465157642494887,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
16,1160.118893636,2.0,1739035544.8939855,,0.00024098185531329364,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
17,1160.369768218,2.0,1739035545.1448033,,0.000688791973516345,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
18,1160.567834881,2.0,1739035545.343133,,0.0001886814716272056,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
19,1160.740884676,2.0,1739035545.516182,,0.00014465853746514767,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
20,1160.925482739,2.0,1739035545.700668,,0.00010798117000376806,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
21,1161.098986415,2.0,1739035545.8742397,,0.00015880237333476543,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
22,1161.281356795,2.0,1739035546.0566537,,0.00031590351136401296,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
23,1161.457030133,2.0,1739035546.232271,,0.00010707923502195626,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
24,1161.621025986,2.0,1739035546.3962486,,0.00015543722838629037,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
25,1161.828073136,2.0,1739035546.6033463,,0.0001166451838798821,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
26,1162.036361216,2.0,1739035546.8116474,,0.0003449162177275866,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
27,1162.240563162,2.0,1739035547.0158162,,8.745367085793987e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
28,1162.412328269,2.0,1739035547.1875544,,0.00017157680122181773,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
29,1162.587486344,2.0,1739035547.3627772,,0.00047710741637274623,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
30,1162.745480277,2.0,1739035547.5207648,,9.140718611888587e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
31,1162.9182130680001,2.0,1739035547.693515,,4.1837847675196826e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
32,1163.146925848,2.0,1739035547.9221773,,0.00015277747297659516,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
33,1163.347121166,2.0,1739035548.1224,,3.6563527828548104e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,Greek,False,10,4000,5,exp1_permuted_src_datasets
