_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.329530833,2.0,1739049646.1495426,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
1,14.205012993,2.0,1739049656.02509,0.623,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
2,14.240427591,2.0,1739049656.0603611,,0.906760036945343,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
3,14.36703902,2.0,1739049656.1870453,,0.8748267292976379,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
4,14.424100946,2.0,1739049656.2440546,,0.8451042771339417,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
5,14.473668229,2.0,1739049656.2935653,,0.8776594400405884,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
6,14.537508422,2.0,1739049656.3573463,,0.9335616827011108,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
7,14.602264391,2.0,1739049656.4221733,,0.8666286468505859,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
8,14.644089796,2.0,1739049656.4640245,,0.8465374112129211,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
9,14.695230078,2.0,1739049656.515104,,0.8147933483123779,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
10,14.741833123,2.0,1739049656.561765,,0.9385067820549011,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,5,4000,5,exp1_permuted_src_datasets
