_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,9.142712427,2.0,1739045385.9327393,,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
1,121.811890683,2.0,1739045498.5582008,0.6983000004291534,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
2,121.81194068,2.0,1739045498.5990176,,0.02050638757646084,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
3,121.93676223,2.0,1739045498.726775,,0.005390465725213289,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
4,121.97557562,2.0,1739045498.765615,,0.0010456504533067346,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
5,122.015058136,2.0,1739045498.8051023,,0.00047399065806530416,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
6,122.043615571,2.0,1739045498.8336298,,0.00013141059025656432,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
7,122.083258415,2.0,1739045498.8731368,,6.954593845875934e-05,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
8,122.117289938,2.0,1739045498.907281,,3.088638186454773e-05,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
9,122.149141254,2.0,1739045498.939134,,1.5817375242477283e-05,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
10,122.180889626,2.0,1739045498.9708476,,8.161307960108388e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
11,122.210873069,2.0,1739045499.0008388,,5.657937890646281e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
12,122.245619562,2.0,1739045499.0354526,,4.4002890717820264e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
13,122.29003061,2.0,1739045499.0799885,,2.0816864889638964e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
14,122.317259716,2.0,1739045499.1073062,,2.6345169317210093e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
15,122.348176122,2.0,1739045499.138078,,1.0609617220325163e-06,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
16,122.391290221,2.0,1739045499.181267,,6.094571745052235e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
17,122.418464205,2.0,1739045499.208392,,6.645913686043059e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
18,122.44826121,2.0,1739045499.2382967,,4.947183924741694e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
19,122.482586206,2.0,1739045499.272537,,5.036589527662727e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
20,122.51262795,2.0,1739045499.3025851,,4.6044556256674696e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
21,122.557059001,2.0,1739045499.3470974,,1.7583367650786386e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
22,122.602926049,2.0,1739045499.392803,,4.932281854053144e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
23,122.636425615,2.0,1739045499.426406,,1.7583367650786386e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
24,122.68087131,2.0,1739045499.4708073,,9.387731125798382e-08,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
25,122.711760403,2.0,1739045499.5018046,,9.9837770051181e-08,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
26,122.741501848,2.0,1739045499.5315325,,1.743435547041372e-07,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
27,122.769393682,2.0,1739045499.5593953,,7.450579886381092e-08,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,1,4000,5,exp1_permuted_src_datasets
