_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.116805513,2.0,1739052296.0998483,,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
1,133.70684532,2.0,1739052421.648284,0.8715,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
2,133.706890239,2.0,1739052421.6825638,,1.2002806663513184,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
3,133.804099281,2.0,1739052421.7872005,,1.013885259628296,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
4,133.840349417,2.0,1739052421.8234978,,1.1188830137252808,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
5,133.890909908,2.0,1739052421.8740234,,0.9758626222610474,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
6,133.943623155,2.0,1739052421.926719,,1.0586028099060059,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
7,134.009509968,2.0,1739052421.9924955,,0.9813767075538635,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
8,134.066512149,2.0,1739052422.0495162,,1.019267201423645,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
9,134.120677337,2.0,1739052422.1036208,,1.0231813192367554,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
10,134.178074389,2.0,1739052422.1611204,,0.9544913172721863,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
11,134.241263787,2.0,1739052422.2242978,,0.9240643978118896,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
12,134.285297317,2.0,1739052422.268201,,0.8335219025611877,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,5,exp1_permuted_src_datasets
