_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.878865447,2.0,1739013628.535119,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
1,6.645883554,2.0,1739013634.3047047,0.63175,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
2,6.674362982,2.0,1739013634.3329692,,1.396515130996704,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
3,6.82774765,2.0,1739013634.48649,,1.3739973306655884,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
4,6.849845756,2.0,1739013634.5085804,,1.3790621757507324,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
5,6.87085601,2.0,1739013634.5294914,,1.3810721635818481,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
6,6.893568139,2.0,1739013634.5523193,,1.3751376867294312,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
7,6.914326219,2.0,1739013634.5730746,,1.3765404224395752,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
8,6.936522364,2.0,1739013634.5952876,,1.3777194023132324,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
9,6.959381922,2.0,1739013634.618054,,1.3711096048355103,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
10,6.984918209,2.0,1739013634.6434538,,1.3759362697601318,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
11,7.009458056,2.0,1739013634.6681778,,1.3731193542480469,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
12,7.034085868,2.0,1739013634.692761,,1.376731514930725,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
13,7.058898472,2.0,1739013634.7175784,,1.4288839101791382,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
14,7.079960331,2.0,1739013634.7387505,,1.374016284942627,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
15,7.099691921,2.0,1739013634.7584386,,1.370965838432312,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
16,7.12315012,2.0,1739013634.781848,,1.370152473449707,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
17,7.144383816,2.0,1739013634.8030653,,1.371713399887085,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
18,7.165318969,2.0,1739013634.8239477,,1.3737956285476685,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
19,7.184349833,2.0,1739013634.843136,,1.3712331056594849,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
20,7.209590358,2.0,1739013634.8682668,,1.3780282735824585,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
21,7.234314878,2.0,1739013634.892945,,1.427945613861084,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
22,7.26005153,2.0,1739013634.9186423,,1.370099425315857,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,1,4000,5,exp1_permuted_src_datasets
