_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.778711465,2.0,1739006670.343842,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
1,192.628761263,2.0,1739006862.1497867,0.8728999998569489,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
2,192.640048807,2.0,1739006862.2052648,,0.0004399069002829492,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
3,192.821653126,2.0,1739006862.3868194,,0.00016193401825148612,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
4,192.914168307,2.0,1739006862.4793081,,2.8725151423714124e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
5,193.000816163,2.0,1739006862.5659006,,9.545539796818048e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
6,193.080911176,2.0,1739006862.6460757,,2.6136517590202857e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
7,193.165508415,2.0,1739006862.7307017,,1.8358168745180592e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
8,193.259090051,2.0,1739006862.8242218,,6.24357994638558e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
9,193.359450262,2.0,1739006862.9246411,,5.528320912162599e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
10,193.447242892,2.0,1739006863.0124674,,2.861021357603022e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
11,193.560146468,2.0,1739006863.1252975,,2.279873996258175e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
12,193.649790621,2.0,1739006863.2150052,,6.258487417198921e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
13,193.739711551,2.0,1739006863.3049269,,1.0132775685178785e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
14,193.833083589,2.0,1739006863.3982434,,6.705521116145974e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
15,193.920839739,2.0,1739006863.485894,,3.4272666482593195e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
16,194.004632531,2.0,1739006863.5698276,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
17,194.110698714,2.0,1739006863.6758296,,2.6822084109312527e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
18,194.223681522,2.0,1739006863.7888696,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
19,194.333081528,2.0,1739006863.8982232,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
20,194.449255153,2.0,1739006864.0142682,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
21,194.543596585,2.0,1739006864.108675,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
22,194.660548584,2.0,1739006864.225726,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
23,194.753929428,2.0,1739006864.3190823,,5.960464122267695e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
24,194.853959389,2.0,1739006864.4190946,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
25,194.961140124,2.0,1739006864.5261352,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
26,195.054457883,2.0,1739006864.619579,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
27,195.156746972,2.0,1739006864.7219336,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
28,195.263518986,2.0,1739006864.8286574,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
29,195.349957921,2.0,1739006864.915121,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
30,195.452912929,2.0,1739006865.018115,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
31,195.588919782,2.0,1739006865.1540797,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,5,4000,5,exp1_permuted_src_datasets
