_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.0650966,2.0,1739069946.7583182,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
1,21.600564865,2.0,1739069960.293876,0.623,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
2,21.623828133,2.0,1739069960.3169165,,1.3785113096237183,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
3,21.726402467,2.0,1739069960.4196212,,1.3740178346633911,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
4,21.750142612,2.0,1739069960.4433486,,1.375051736831665,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
5,21.770755639,2.0,1739069960.46397,,1.3747631311416626,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
6,21.788150305,2.0,1739069960.4813461,,1.3720225095748901,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
7,21.809370069,2.0,1739069960.502538,,1.3718888759613037,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
8,21.827697838,2.0,1739069960.5209308,,1.3738645315170288,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
9,21.849694256,2.0,1739069960.5428054,,1.434118390083313,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
10,21.860914364,2.0,1739069960.5541797,,1.3737375736236572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
11,21.881914111,2.0,1739069960.5750453,,1.3749970197677612,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
12,21.905247079,2.0,1739069960.5983996,,1.3772261142730713,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
13,21.926806752,2.0,1739069960.6199486,,1.3770534992218018,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
14,21.947169379,2.0,1739069960.6403973,,1.3710273504257202,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
15,21.967206249,2.0,1739069960.6604702,,1.377660870552063,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
16,21.989920403,2.0,1739069960.6831396,,1.3730883598327637,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
17,22.010543203,2.0,1739069960.7037528,,1.3712058067321777,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
18,22.027781958,2.0,1739069960.7210236,,1.4296550750732422,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
19,22.042358651,2.0,1739069960.7356117,,1.373091220855713,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
20,22.057011252,2.0,1739069960.750268,,1.428400993347168,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
21,22.080650713,2.0,1739069960.773848,,1.370046854019165,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
22,22.101853969,2.0,1739069960.7950404,,1.3758893013000488,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
23,22.122420798,2.0,1739069960.815569,,1.380703330039978,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
24,22.146985816,2.0,1739069960.8402169,,1.3692800998687744,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
25,22.167730305,2.0,1739069960.860975,,1.3698011636734009,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
26,22.190273643,2.0,1739069960.8834844,,1.370298147201538,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
27,22.214376692,2.0,1739069960.907552,,1.3733532428741455,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
28,22.234597897,2.0,1739069960.927818,,1.370115041732788,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
29,22.259285883,2.0,1739069960.952491,,1.3692667484283447,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
