_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.250588726,2.0,1739006612.124669,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
1,463.416021595,2.0,1739007068.2477162,0.7717500014305114,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
2,463.416127755,2.0,1739007068.2795866,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
3,463.549319674,2.0,1739007068.4232569,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
4,463.591507474,2.0,1739007068.4654107,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
5,463.631260714,2.0,1739007068.5051863,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
6,463.686475709,2.0,1739007068.5604503,,5.960463678178485e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
7,463.737872562,2.0,1739007068.6116998,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
8,463.788017406,2.0,1739007068.661748,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
9,463.838657427,2.0,1739007068.712353,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
10,463.884107366,2.0,1739007068.7578835,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
11,463.929856227,2.0,1739007068.8037493,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
12,463.983755328,2.0,1739007068.857324,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
13,464.034270006,2.0,1739007068.908199,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
14,464.086024646,2.0,1739007068.9597137,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
15,464.131744083,2.0,1739007069.005379,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
16,464.173215434,2.0,1739007069.0471358,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
17,464.212142646,2.0,1739007069.0859575,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
18,464.266072279,2.0,1739007069.1398413,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
19,464.303739482,2.0,1739007069.1776319,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
20,464.35332048,2.0,1739007069.227278,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
21,464.398135375,2.0,1739007069.2720811,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
22,464.449456207,2.0,1739007069.323156,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
23,464.489509044,2.0,1739007069.3634212,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
24,464.533512813,2.0,1739007069.407417,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
25,464.587716501,2.0,1739007069.4612856,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
26,464.637106447,2.0,1739007069.5110328,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
27,464.692365612,2.0,1739007069.5663323,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
28,464.733514091,2.0,1739007069.6072116,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
29,464.77895906,2.0,1739007069.6525836,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
30,464.833166187,2.0,1739007069.706941,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
31,464.889836678,2.0,1739007069.76344,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
32,464.952589871,2.0,1739007069.8263772,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
33,465.010769695,2.0,1739007069.884547,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
34,465.056000734,2.0,1739007069.9298608,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
35,465.11324922,2.0,1739007069.9868686,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
36,465.164284037,2.0,1739007070.0381174,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
37,465.221940936,2.0,1739007070.0957265,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
38,465.265551211,2.0,1739007070.1395028,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
39,465.30765917,2.0,1739007070.1815162,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
40,465.355909008,2.0,1739007070.2299168,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
41,465.390769483,2.0,1739007070.264751,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
42,465.448053723,2.0,1739007070.3218853,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
43,465.487974238,2.0,1739007070.361843,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
44,465.526287689,2.0,1739007070.4001417,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
45,465.562242903,2.0,1739007070.4360437,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
46,465.602630104,2.0,1739007070.4766495,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
47,465.647919298,2.0,1739007070.5176537,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
48,465.685212893,2.0,1739007070.5592308,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
49,465.732088937,2.0,1739007070.6059122,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
50,465.773222163,2.0,1739007070.6472793,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
51,465.811548206,2.0,1739007070.6855352,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
52,465.857325262,2.0,1739007070.731244,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
53,465.897014878,2.0,1739007070.7708817,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
54,465.947024038,2.0,1739007070.8209262,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
55,465.999097278,2.0,1739007070.8730302,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
56,466.048324836,2.0,1739007070.9223409,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,5,exp1_permuted_src_datasets
