_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.655308471,2.0,1739023399.7986066,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
1,15.507411225,2.0,1739023410.650687,0.74825,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
2,15.545265184,2.0,1739023410.6883583,,0.9485613703727722,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
3,15.694748745,2.0,1739023410.825975,,0.9204708933830261,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
4,15.734856014,2.0,1739023410.8779325,,0.8612611889839172,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
5,15.789676824,2.0,1739023410.9328132,,0.8249760866165161,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
6,15.840364687,2.0,1739023410.9833817,,0.9039952754974365,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
7,15.905804281,2.0,1739023411.0489342,,0.8538998961448669,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
8,15.950028569,2.0,1739023411.0931065,,0.8799869418144226,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
9,16.007400877,2.0,1739023411.1505327,,0.8045802116394043,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
10,16.061535924,2.0,1739023411.2046723,,0.9544015526771545,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
11,16.105027012,2.0,1739023411.2480829,,0.8548212051391602,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
12,16.172780025,2.0,1739023411.315869,,0.873795211315155,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
13,16.237692988,2.0,1739023411.3808136,,0.9360756278038025,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
14,16.302493037,2.0,1739023411.4455638,,0.784613311290741,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
15,16.342896571,2.0,1739023411.4859405,,0.7950637340545654,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
16,16.394869124,2.0,1739023411.537841,,0.858940064907074,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
17,16.437418452,2.0,1739023411.5805244,,0.77778559923172,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
18,16.490128985,2.0,1739023411.6332421,,0.8176245093345642,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
19,16.537153073,2.0,1739023411.6802912,,0.7604989409446716,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
20,16.576516429,2.0,1739023411.7196553,,0.8172500133514404,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
21,16.611641767,2.0,1739023411.7547636,,0.908656120300293,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
22,16.682358116,2.0,1739023411.825311,,0.9251383543014526,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
23,16.742571296,2.0,1739023411.8856537,,0.8114981651306152,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
24,16.802622334,2.0,1739023411.9456515,,0.8887963891029358,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
25,16.845795542,2.0,1739023411.9889038,,0.8618049621582031,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
26,16.904196086,2.0,1739023412.0473013,,0.8339449763298035,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
27,16.968684678,2.0,1739023412.1118014,,0.7480574250221252,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
28,17.026925596,2.0,1739023412.1700175,,0.7841572165489197,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
29,17.083841376,2.0,1739023412.2269225,,0.7913256883621216,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
30,17.124711592,2.0,1739023412.267791,,0.7406371831893921,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
31,17.175189705,2.0,1739023412.3182561,,0.7979686856269836,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
32,17.221502872,2.0,1739023412.3645358,,0.8273220062255859,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
33,17.267638801,2.0,1739023412.4107342,,0.8055430054664612,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
34,17.323731106,2.0,1739023412.4668689,,0.7164244055747986,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
35,17.381205958,2.0,1739023412.5242674,,0.7842015027999878,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
36,17.441027171,2.0,1739023412.5841355,,0.769942045211792,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
37,17.505481889,2.0,1739023412.6486056,,0.7873218655586243,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
38,17.564923591,2.0,1739023412.70803,,0.8044315576553345,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
39,17.628296437,2.0,1739023412.7713869,,0.7980164289474487,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
40,17.678171632,2.0,1739023412.8212912,,0.7550337910652161,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
41,17.744508731,2.0,1739023412.887525,,0.7846777439117432,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
42,17.813019478,2.0,1739023412.9560535,,0.7721041440963745,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
43,17.853107408,2.0,1739023412.9962249,,0.7989514470100403,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
44,17.9168451,2.0,1739023413.0599504,,0.8524746298789978,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
45,17.983672964,2.0,1739023413.1267889,,0.709418535232544,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
46,18.056029856,2.0,1739023413.1990545,,0.723345160484314,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,5,4000,5,exp1_permuted_src_datasets
