_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.881401627,2.0,1739014712.3597944,,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
1,117.325698068,2.0,1739014821.8041801,0.856,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
2,117.374070982,2.0,1739014821.8523254,,1.1312754154205322,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
3,117.500428525,2.0,1739014821.978754,,1.090908169746399,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
4,117.556260987,2.0,1739014822.0345867,,1.0324245691299438,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
5,117.626841743,2.0,1739014822.1050892,,1.0264467000961304,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
6,117.681104053,2.0,1739014822.1594431,,1.0956963300704956,0.875,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
7,117.733585434,2.0,1739014822.2119253,,0.9767286777496338,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
8,117.78933575799999,2.0,1739014822.2676365,,1.0595166683197021,0.875,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
9,117.841300051,2.0,1739014822.3195052,,1.0047192573547363,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
10,117.89267949,2.0,1739014822.3709507,,0.9735237956047058,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
11,117.957475304,2.0,1739014822.4357579,,0.8706446290016174,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
12,118.012338206,2.0,1739014822.4907038,,0.8587400317192078,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
13,118.069725154,2.0,1739014822.5479515,,0.920998752117157,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
14,118.140962732,2.0,1739014822.6192427,,0.924078643321991,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
15,118.211611781,2.0,1739014822.6898954,,0.9003329873085022,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
16,118.281693905,2.0,1739014822.7599173,,0.839310348033905,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
17,118.341927003,2.0,1739014822.8201663,,0.9478201866149902,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
18,118.409003157,2.0,1739014822.8873305,,0.9070161581039429,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
19,118.461561449,2.0,1739014822.939917,,0.9012190699577332,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
20,118.500693302,2.0,1739014822.979086,,0.9019675254821777,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
21,118.561868112,2.0,1739014823.0401986,,0.8259502649307251,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
22,118.630804518,2.0,1739014823.1091256,,0.8709010481834412,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
23,118.667633819,2.0,1739014823.1459503,,0.8592606782913208,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
24,118.702723236,2.0,1739014823.18105,,0.9107936024665833,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
25,118.737264316,2.0,1739014823.2156382,,0.8173682689666748,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
26,118.789488572,2.0,1739014823.2678568,,0.7909162044525146,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
27,118.840511766,2.0,1739014823.3188262,,0.7659322619438171,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
28,118.87809759,2.0,1739014823.3564699,,0.7958012819290161,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
29,118.915869212,2.0,1739014823.3942187,,0.8357211351394653,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
30,118.969331811,2.0,1739014823.44768,,0.8177083134651184,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
31,119.013749165,2.0,1739014823.4919753,,0.874180018901825,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
32,119.052054149,2.0,1739014823.5304053,,0.7965238690376282,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
33,119.09274005,2.0,1739014823.5710928,,0.8348125219345093,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
34,119.128111823,2.0,1739014823.6064825,,0.7218315601348877,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
35,119.178733815,2.0,1739014823.6570423,,0.7688784599304199,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
36,119.215421039,2.0,1739014823.6937826,,0.766059398651123,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
37,119.252621529,2.0,1739014823.7309418,,0.8064062595367432,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
38,119.289494601,2.0,1739014823.7678277,,0.7175398468971252,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
39,119.351528463,2.0,1739014823.8297853,,0.7861049771308899,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
40,119.406132484,2.0,1739014823.8844278,,0.7448755502700806,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
41,119.462091458,2.0,1739014823.9404216,,0.8120474815368652,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
42,119.524199455,2.0,1739014824.002489,,0.7974315285682678,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
43,119.57801917,2.0,1739014824.056384,,0.7028799057006836,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
44,119.636763007,2.0,1739014824.1150122,,0.7124100923538208,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
45,119.671534541,2.0,1739014824.149842,,0.7515555620193481,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
46,119.73612548,2.0,1739014824.2143908,,0.732513427734375,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
47,119.787810799,2.0,1739014824.2661822,,0.8382577300071716,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
48,119.828900805,2.0,1739014824.3072467,,0.6972415447235107,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
49,119.877119275,2.0,1739014824.3555205,,0.7187579870223999,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
50,119.90957242100001,2.0,1739014824.3879743,,0.7889671325683594,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
51,119.959972438,2.0,1739014824.4383311,,0.7833861708641052,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
52,120.002873141,2.0,1739014824.4812665,,0.8559771776199341,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
53,120.0537708,2.0,1739014824.5321302,,0.7466923594474792,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
54,120.106646755,2.0,1739014824.585026,,0.7175605297088623,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
55,120.15498324,2.0,1739014824.6332986,,0.7601059675216675,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
56,120.2161546,2.0,1739014824.6944594,,0.7374776005744934,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
57,120.265942793,2.0,1739014824.7442894,,0.7737327814102173,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
58,120.327430703,2.0,1739014824.8057063,,0.7353636026382446,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
59,120.384010503,2.0,1739014824.8623285,,0.7344104647636414,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
60,120.440967706,2.0,1739014824.9192836,,0.7370961904525757,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
61,120.48355499,2.0,1739014824.9549346,,0.7760204076766968,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
62,120.528985131,2.0,1739014825.007323,,0.7232544422149658,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
63,120.587486373,2.0,1739014825.0658162,,0.6893485188484192,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
64,241.32755931,2.0,1739014945.7594075,0.89325,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
65,241.327615719,2.0,1739014945.8029995,,0.7231827974319458,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
66,241.380007699,2.0,1739014945.8583071,,0.7082658410072327,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
67,241.433714193,2.0,1739014945.9121034,,0.7602997422218323,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
68,241.474475845,2.0,1739014945.952811,,0.7077975869178772,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
69,241.542986963,2.0,1739014946.021211,,0.7154098153114319,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
70,241.598744081,2.0,1739014946.0770733,,0.7048678398132324,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
71,241.648610416,2.0,1739014946.1268334,,0.7074677348136902,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
72,241.717698652,2.0,1739014946.1959784,,0.7085995674133301,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
73,241.773532458,2.0,1739014946.2519097,,0.6577293872833252,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
74,241.840350963,2.0,1739014946.3186402,,0.7233864665031433,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
75,241.910341516,2.0,1739014946.388581,,0.7149404287338257,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
76,241.965543011,2.0,1739014946.443703,,0.685512900352478,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,TKH,False,5,4000,5,exp1_permuted_src_datasets
