_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.865044496,2.0,1738938957.1748965,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
1,8.998387159,2.0,1738938965.3083143,0.79425,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
2,9.045122878,2.0,1738938965.3548315,,0.7498729825019836,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
3,9.179733319,2.0,1738938965.4894335,,0.8007645606994629,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
4,9.215890073,2.0,1738938965.525639,,0.7561825513839722,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
5,9.266253812,2.0,1738938965.5759954,,0.7784626483917236,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
6,9.339156601,2.0,1738938965.648811,,0.7732232809066772,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
7,9.405304743,2.0,1738938965.7149675,,0.7586021423339844,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
8,9.457639424,2.0,1738938965.7673736,,0.809905469417572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
9,9.506609519,2.0,1738938965.8163495,,0.870827853679657,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
10,9.560180496,2.0,1738938965.8698668,,0.7841460108757019,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
11,9.613043483,2.0,1738938965.9227264,,0.766643226146698,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
12,9.664541178,2.0,1738938965.9742498,,0.7128459215164185,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
13,9.717970842,2.0,1738938966.0276713,,0.7665150165557861,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
14,9.759385274,2.0,1738938966.069107,,0.722973108291626,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
15,9.798176273,2.0,1738938966.107928,,0.7755375504493713,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
16,9.841766154,2.0,1738938966.1515222,,0.7035868167877197,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
17,9.908117764,2.0,1738938966.217768,,0.7668519020080566,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
18,9.952363324,2.0,1738938966.2620478,,0.7110503315925598,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
19,10.01359466,2.0,1738938966.3232949,,0.771212100982666,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
