_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.126974532,2.0,1738957877.8401866,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
1,3047.163674963,2.0,1738960917.8768706,0.9089000005722045,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
2,3047.353296865,2.0,1738960918.0664012,,0.0987570509314537,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
3,3047.621553628,2.0,1738960918.3346362,,0.07607704401016235,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
4,3047.874516308,2.0,1738960918.5875769,,0.037814341485500336,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
5,3048.092463816,2.0,1738960918.8055806,,0.0020033312030136585,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
6,3048.338029775,2.0,1738960919.0511608,,0.0018376432126387954,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
7,3048.538396296,2.0,1738960919.251492,,0.0006029555224813521,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
8,3048.74517031,2.0,1738960919.4582953,,0.0003027231723535806,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
9,3048.954339828,2.0,1738960919.667409,,0.0006336039514280856,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
10,3049.207882231,2.0,1738960919.9210248,,0.00036781979724764824,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
11,3049.436137595,2.0,1738960920.1492805,,0.00020662233873736113,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
12,3049.592082365,2.0,1738960920.305241,,0.0002492281491868198,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
13,3049.795156551,2.0,1738960920.5082633,,0.0003602299257181585,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
14,3050.053049777,2.0,1738960920.766164,,0.00011380422074580565,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
15,3050.251933732,2.0,1738960920.965061,,0.0001382442278554663,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
16,3050.457292683,2.0,1738960921.1703777,,0.0002013142657233402,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
17,3050.744338615,2.0,1738960921.4573603,,0.00013072529691271484,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
18,3050.957072849,2.0,1738960921.6701605,,0.0001194960786961019,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
19,3051.200540665,2.0,1738960921.913599,,0.00011001504026353359,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
20,3051.399239282,2.0,1738960922.11222,,0.00012851422070525587,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
21,3051.647218559,2.0,1738960922.3602984,,0.00011870134767377749,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
22,3051.923084893,2.0,1738960922.6361504,,8.557191176805645e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
23,3052.099237099,2.0,1738960922.812343,,0.00010651728371158242,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
24,3052.331563606,2.0,1738960923.0447109,,5.679410605807789e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
25,3052.573970216,2.0,1738960923.2869477,,8.059290121309459e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
26,3052.753758707,2.0,1738960923.466865,,4.425982115208171e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
27,3052.930052214,2.0,1738960923.6431878,,7.891521818237379e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
28,3053.128737125,2.0,1738960923.8418794,,9.936228161677718e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
29,3053.301821271,2.0,1738960924.014891,,6.634731107624248e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
30,3053.511454418,2.0,1738960924.2245123,,7.379495218629017e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
31,3053.710997811,2.0,1738960924.4240537,,7.243643631227314e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
32,3053.914696835,2.0,1738960924.6278512,,6.833799125161022e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
33,3054.129741343,2.0,1738960924.8428876,,5.2131537813693285e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
34,3054.289107519,2.0,1738960925.002228,,4.828444798476994e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
