_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.036776223,2.0,1738997033.6675525,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
1,27.407838489,2.0,1738997054.0386987,0.85575,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
2,27.45051567,2.0,1738997054.0812337,,0.7798852920532227,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
3,27.591672317,2.0,1738997054.2222788,,0.8565868139266968,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
4,27.650491451,2.0,1738997054.281182,,0.9007005095481873,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
5,27.723140115,2.0,1738997054.3537526,,0.9121622443199158,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
6,27.780956129,2.0,1738997054.4116483,,0.8070739507675171,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
7,27.834012081,2.0,1738997054.464706,,0.8395765423774719,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
8,27.884986956,2.0,1738997054.5156915,,0.8903667330741882,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
9,27.936285009,2.0,1738997054.5669265,,0.8756750822067261,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
10,27.997904612,2.0,1738997054.6284401,,0.8048411011695862,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
11,28.037321435,2.0,1738997054.6680138,,0.8436422348022461,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
12,28.111151849,2.0,1738997054.7417605,,0.8667603731155396,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
13,28.171390652,2.0,1738997054.802079,,0.7895138263702393,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
14,28.229594865,2.0,1738997054.8602474,,0.7791480422019958,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
15,28.285133858000002,2.0,1738997054.9156685,,0.7781597971916199,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
16,28.33436947,2.0,1738997054.9651027,,0.7929388880729675,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
17,28.405750617,2.0,1738997055.036357,,0.9331814646720886,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
18,28.46621834,2.0,1738997055.0968785,,0.8039124608039856,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
19,28.52225819,2.0,1738997055.1529725,,0.7877975106239319,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
20,28.58257206,2.0,1738997055.213274,,0.829610288143158,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
21,28.634342758,2.0,1738997055.2650416,,0.8161513805389404,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
22,28.706658425,2.0,1738997055.3372004,,0.7402331233024597,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
23,28.780394350999998,2.0,1738997055.410999,,0.7610715627670288,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
24,28.840032455,2.0,1738997055.4707394,,0.8409700989723206,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
25,28.900617827,2.0,1738997055.5313365,,0.7538571953773499,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
26,28.956942363,2.0,1738997055.5876467,,0.8366537690162659,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
27,29.029480487,2.0,1738997055.6601202,,0.7275261878967285,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
28,29.086411993,2.0,1738997055.7169974,,0.8330005407333374,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
29,29.159358044,2.0,1738997055.7900126,,0.7148553729057312,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
30,29.220750026,2.0,1738997055.8513577,,0.8123255372047424,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
31,29.281301563,2.0,1738997055.9120343,,0.778037965297699,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
32,29.341818195,2.0,1738997055.9724956,,0.7459280490875244,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
33,29.381161021,2.0,1738997056.0118542,,0.6815253496170044,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
34,29.437092557,2.0,1738997056.0678575,,0.7779112458229065,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
35,29.489078543,2.0,1738997056.1197665,,0.7556992173194885,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
36,29.531392554,2.0,1738997056.1620693,,0.7940777540206909,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
37,29.585109806,2.0,1738997056.2157133,,0.769827663898468,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
38,29.62274223,2.0,1738997056.253443,,0.738265335559845,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
39,29.665968166,2.0,1738997056.296574,,0.7647792100906372,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
40,29.722001092,2.0,1738997056.3526936,,0.8264439105987549,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
41,29.760860776,2.0,1738997056.3915544,,0.7435386180877686,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
42,29.797002717,2.0,1738997056.427717,,0.8048738837242126,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
43,29.85012862,2.0,1738997056.4808118,,0.6948901414871216,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
44,29.888173689,2.0,1738997056.518882,,0.7800193428993225,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
45,29.940200974,2.0,1738997056.5707877,,0.7260200381278992,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
46,30.013394079,2.0,1738997056.6439004,,0.7212274670600891,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
47,30.085338707,2.0,1738997056.7159493,,0.7582176923751831,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
48,30.14435412,2.0,1738997056.7750537,,0.7118270993232727,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
49,30.20628762,2.0,1738997056.8369522,,0.8144113421440125,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
50,30.265432505,2.0,1738997056.8961391,,0.7674997448921204,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
51,30.312892342,2.0,1738997056.9435785,,0.6477252840995789,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
52,30.357641534,2.0,1738997056.988334,,0.705743670463562,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
53,30.411195058,2.0,1738997057.0280087,,0.7555616497993469,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
54,30.442807401,2.0,1738997057.0734534,,0.765647828578949,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
55,30.485017649,2.0,1738997057.1157079,,0.7646645307540894,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
56,30.542928568,2.0,1738997057.1736822,,0.7281085252761841,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
57,30.600155904,2.0,1738997057.2308068,,0.6814271807670593,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
58,30.659637567,2.0,1738997057.2902427,,0.7450792193412781,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
59,30.698608067,2.0,1738997057.3293538,,0.7177315950393677,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
60,30.767531983,2.0,1738997057.3980987,,0.6545543670654297,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
61,30.833177822,2.0,1738997057.4637868,,0.7490898370742798,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
62,30.889714054,2.0,1738997057.5203671,,0.6720864176750183,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
63,30.953458296,2.0,1738997057.5840652,,0.7065026760101318,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
64,52.230251925,2.0,1738997078.8611534,0.8935,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
65,52.262346793,2.0,1738997078.8930566,,0.687613308429718,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
66,52.308686374,2.0,1738997078.9393601,,0.7253000736236572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
67,52.358131978,2.0,1738997078.9888697,,0.729064404964447,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
68,52.409162575,2.0,1738997079.0398676,,0.7504169940948486,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
69,52.454573813,2.0,1738997079.085195,,0.7161182165145874,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
70,52.526151746,2.0,1738997079.156804,,0.7242988348007202,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
71,52.567134783,2.0,1738997079.1978245,,0.7024136185646057,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
72,52.623473237,2.0,1738997079.2540376,,0.7007393836975098,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
73,52.683501134,2.0,1738997079.3142185,,0.6713824272155762,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
74,52.732517862,2.0,1738997079.3631735,,0.6909564137458801,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
75,52.803029863,2.0,1738997079.4336762,,0.6986889839172363,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
76,52.852940879,2.0,1738997079.48363,,0.7335368394851685,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
77,52.905197862,2.0,1738997079.5358963,,0.6763905882835388,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
78,52.950318146,2.0,1738997079.581031,,0.7206252813339233,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
79,52.987179869,2.0,1738997079.6178818,,0.7328087091445923,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
80,53.045548498,2.0,1738997079.6761756,,0.6974773406982422,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
81,53.082025576,2.0,1738997079.7127054,,0.7033548951148987,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
82,53.14369659,2.0,1738997079.774324,,0.7718150019645691,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
83,53.18323339,2.0,1738997079.8138697,,0.7130325436592102,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
84,53.246812612,2.0,1738997079.877402,,0.699644148349762,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
85,53.308838644,2.0,1738997079.9395385,,0.6611903309822083,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
86,53.368801728,2.0,1738997079.999479,,0.7346432209014893,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
87,53.409867545,2.0,1738997080.040555,,0.6975903511047363,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
88,53.448151373,2.0,1738997080.0788727,,0.7156763672828674,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
89,53.512496685,2.0,1738997080.1432116,,0.654241681098938,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
90,53.574196527,2.0,1738997080.2048063,,0.6583312153816223,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
91,53.641827242,2.0,1738997080.2725213,,0.6878597736358643,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
92,53.707831845,2.0,1738997080.33843,,0.7430147528648376,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
93,53.774258532,2.0,1738997080.4048455,,0.6974971294403076,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
94,53.830062155,2.0,1738997080.4606657,,0.6605186462402344,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
95,53.8982766,2.0,1738997080.528884,,0.6542695164680481,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
96,53.950164987,2.0,1738997080.5807595,,0.6713463068008423,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
97,53.985581088,2.0,1738997080.6163056,,0.650107204914093,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
98,54.052884496,2.0,1738997080.6834905,,0.651756227016449,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
99,54.107497445,2.0,1738997080.7381303,,0.6789864301681519,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
100,54.168878532,2.0,1738997080.799585,,0.6942116618156433,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
101,54.232893302,2.0,1738997080.8631918,,0.6785789728164673,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
102,54.284731319,2.0,1738997080.915413,,0.6779072284698486,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
103,54.343569988,2.0,1738997080.974264,,0.6995317935943604,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
104,54.393934029,2.0,1738997081.0245328,,0.6940770745277405,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
105,54.436982861,2.0,1738997081.0676613,,0.6469335556030273,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
106,54.498619541,2.0,1738997081.129346,,0.7275311350822449,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
107,54.562438909,2.0,1738997081.193099,,0.7068138718605042,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
108,54.615036785,2.0,1738997081.2457576,,0.6591458320617676,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
109,54.676310348,2.0,1738997081.3069403,,0.6914373636245728,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
110,54.744652269,2.0,1738997081.37528,,0.6382877230644226,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
111,54.811977437,2.0,1738997081.4425871,,0.6942001581192017,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
112,54.866095147,2.0,1738997081.4968185,,0.7121344208717346,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
113,54.932227395,2.0,1738997081.5629146,,0.6884309649467468,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
114,54.983221156,2.0,1738997081.6139724,,0.7261207699775696,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
115,55.050125937,2.0,1738997081.6807585,,0.7940569519996643,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
116,55.118347963,2.0,1738997081.749052,,0.7260587811470032,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
117,55.184930158,2.0,1738997081.8155694,,0.7061477899551392,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
118,55.235920509,2.0,1738997081.8665879,,0.6921772956848145,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
119,55.302452289,2.0,1738997081.9330938,,0.7406840324401855,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
120,55.364342884,2.0,1738997081.9950325,,0.6699821949005127,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
121,55.428450332,2.0,1738997082.0591319,,0.7363952398300171,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
122,55.482641584,2.0,1738997082.1132524,,0.6495277881622314,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
123,55.530184498,2.0,1738997082.1608546,,0.7447541952133179,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
124,55.592847608,2.0,1738997082.223516,,0.6897182464599609,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
