_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,39.183075879,2.0,1738948954.9693766,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
1,1875.679713812,2.0,1738950791.4320536,0.9104500007629395,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
2,1875.838481283,2.0,1738950791.6246881,,0.0041044228710234165,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
3,1876.089853348,2.0,1738950791.8759425,,0.0009145797230303288,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
4,1876.252789683,2.0,1738950792.0388377,,0.0004948937566950917,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
5,1876.43378606,2.0,1738950792.2199304,,0.000233695114729926,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
6,1876.635754198,2.0,1738950792.421785,,8.23399968794547e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
7,1876.819946104,2.0,1738950792.6061308,,3.606361133279279e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
8,1877.05542173,2.0,1738950792.8416069,,3.165940142935142e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
9,1877.261448157,2.0,1738950793.0475247,,2.484660035406705e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
10,1877.461899821,2.0,1738950793.248051,,1.3364519872993696e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
11,1877.704265076,2.0,1738950793.490371,,7.337233000725973e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
12,1877.929226265,2.0,1738950793.715415,,9.490216143603902e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
13,1878.109573258,2.0,1738950793.8957617,,6.358233804348856e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
14,1878.322477486,2.0,1738950794.1085112,,4.88455862068804e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
15,1878.484599362,2.0,1738950794.270784,,2.9712664399994537e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
16,1878.686984125,2.0,1738950794.473176,,4.121617166674696e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
17,1878.860339391,2.0,1738950794.646537,,1.5452453681064071e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
18,1879.052141998,2.0,1738950794.8383121,,1.5541852462774841e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
19,1879.272330542,2.0,1738950795.0584037,,1.5348148281191243e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
20,1879.427525845,2.0,1738950795.21368,,2.044427219516365e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
21,1879.621625126,2.0,1738950795.4077451,,1.2770261719197151e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
22,1879.852846194,2.0,1738950795.6389754,,1.1309941783110844e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,5,exp1_permuted_src_datasets
