_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,40.31296897,2.0,1738973811.4411223,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
1,74.270459588,2.0,1738973845.398705,0.79925,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
2,74.327922008,2.0,1738973845.455759,,1.0197242498397827,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
3,74.465228813,2.0,1738973845.5933633,,0.8898627758026123,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
4,74.520975094,2.0,1738973845.6491296,,0.9627168774604797,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
5,74.590159215,2.0,1738973845.7181487,,0.9343324899673462,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
6,74.646175017,2.0,1738973845.7742891,,0.8507527112960815,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
7,74.692609307,2.0,1738973845.8207443,,0.884797215461731,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
8,74.754788799,2.0,1738973845.8828676,,0.8802331686019897,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
9,74.803710372,2.0,1738973845.9318197,,0.8028103709220886,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
10,74.870937268,2.0,1738973845.9990692,,0.9123900532722473,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
11,74.911955175,2.0,1738973846.0401196,,0.8304567337036133,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
12,74.954137774,2.0,1738973846.082297,,0.8709455728530884,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
13,74.996729324,2.0,1738973846.1248536,,0.7877327799797058,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
14,75.05714195,2.0,1738973846.1852486,,0.8956608176231384,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
15,75.130688017,2.0,1738973846.258876,,0.8265606164932251,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
16,75.183357568,2.0,1738973846.3114798,,0.7797408699989319,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
17,75.233971364,2.0,1738973846.3620162,,0.7973738312721252,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
18,75.298142392,2.0,1738973846.4262824,,0.7707024812698364,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
19,75.342595336,2.0,1738973846.4707274,,0.7674514651298523,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
20,75.397713387,2.0,1738973846.5258567,,0.7882050275802612,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
21,75.463317682,2.0,1738973846.59133,,0.7720534801483154,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
22,75.516298006,2.0,1738973846.644312,,0.7494798302650452,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
23,75.56166788,2.0,1738973846.6896358,,0.7610597014427185,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
24,75.600748924,2.0,1738973846.7287874,,0.7348296046257019,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
25,75.648826165,2.0,1738973846.7769635,,0.7582042217254639,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
26,75.684093253,2.0,1738973846.8121777,,0.826450526714325,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
27,75.724063774,2.0,1738973846.8521738,,0.7487136721611023,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
28,75.776511566,2.0,1738973846.9046264,,0.756994366645813,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
29,75.819051674,2.0,1738973846.9471617,,0.7666200399398804,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
30,75.869543918,2.0,1738973846.9975908,,0.7499439120292664,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
31,75.928914778,2.0,1738973847.0568888,,0.774590253829956,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
32,75.98417439,2.0,1738973847.1122954,,0.6845238208770752,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
33,76.0300394,2.0,1738973847.1581147,,0.832417368888855,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
34,76.082558669,2.0,1738973847.2105756,,0.7599852085113525,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
35,76.148486809,2.0,1738973847.2753394,,0.7032157182693481,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
36,76.204460443,2.0,1738973847.3325105,,0.7062031626701355,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
37,76.24169846,2.0,1738973847.3698335,,0.6787239909172058,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
38,76.279027746,2.0,1738973847.407055,,0.6850292682647705,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
39,76.334752378,2.0,1738973847.4628718,,0.7384266257286072,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
40,76.372046262,2.0,1738973847.5002203,,0.7451716661453247,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
41,76.424852639,2.0,1738973847.5529866,,0.7528526186943054,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
42,76.468134703,2.0,1738973847.5962484,,0.7221497893333435,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
43,76.520836727,2.0,1738973847.648982,,0.725308895111084,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
44,76.561161306,2.0,1738973847.6893291,,0.6983802318572998,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
45,76.598762131,2.0,1738973847.726888,,0.7417197227478027,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
46,76.634131833,2.0,1738973847.7614589,,0.7244611382484436,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
47,76.687992663,2.0,1738973847.8161144,,0.702519953250885,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
48,76.741785441,2.0,1738973847.8699138,,0.6671341061592102,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
49,76.792023346,2.0,1738973847.9201474,,0.7249773144721985,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
50,76.830189608,2.0,1738973847.9583092,,0.7002556324005127,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
51,76.8834282,2.0,1738973848.0115688,,0.6904717683792114,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
52,76.93862695,2.0,1738973848.0665746,,0.7936680316925049,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
53,76.981410979,2.0,1738973848.109599,,0.706737756729126,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
54,77.024395882,2.0,1738973848.152448,,0.7574521899223328,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
55,77.077194916,2.0,1738973848.2042012,,0.6539110541343689,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
56,77.116510645,2.0,1738973848.2445953,,0.7042560577392578,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
57,77.181856949,2.0,1738973848.3099527,,0.674138605594635,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
58,77.219111045,2.0,1738973848.347236,,0.737477719783783,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
59,77.256599777,2.0,1738973848.3847132,,0.671375572681427,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
60,77.2934835,2.0,1738973848.421605,,0.6501019597053528,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
61,77.345106338,2.0,1738973848.4732413,,0.6550875902175903,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
62,77.385465729,2.0,1738973848.5134523,,0.6759535074234009,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
63,77.444118827,2.0,1738973848.5722375,,0.7206888198852539,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
64,109.643252492,2.0,1738973880.7715743,0.8535,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
65,109.688579413,2.0,1738973880.8167212,,0.7595283389091492,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
66,109.74004696,2.0,1738973880.8679473,,0.6519445776939392,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
67,109.793968196,2.0,1738973880.9219875,,0.697411060333252,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
68,109.842007715,2.0,1738973880.9701076,,0.7726867198944092,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
69,109.911957481,2.0,1738973881.0400178,,0.6606263518333435,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
70,109.962786361,2.0,1738973881.0909016,,0.7086745500564575,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
71,110.036392134,2.0,1738973881.1644585,,0.6932940483093262,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
72,110.098934368,2.0,1738973881.2269218,,0.6877909302711487,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
73,110.153192033,2.0,1738973881.2811992,,0.6885645389556885,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
74,110.213031597,2.0,1738973881.3411574,,0.7016022205352783,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
75,110.286748755,2.0,1738973881.4148247,,0.7162052392959595,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
76,110.326508692,2.0,1738973881.4546528,,0.665070652961731,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
77,110.372921425,2.0,1738973881.5010395,,0.6508930921554565,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
78,110.417139365,2.0,1738973881.5452359,,0.6465141177177429,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
79,110.469715905,2.0,1738973881.5822055,,0.6705125570297241,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
80,110.497449194,2.0,1738973881.6255906,,0.6629346013069153,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
81,110.540638287,2.0,1738973881.668725,,0.6879324913024902,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
82,110.587766067,2.0,1738973881.7158666,,0.6575787663459778,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
83,110.624363774,2.0,1738973881.752492,,0.6843147277832031,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
84,110.673509182,2.0,1738973881.8016136,,0.6846954822540283,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
85,110.725157223,2.0,1738973881.8532784,,0.6503074169158936,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
86,110.763568636,2.0,1738973881.8916667,,0.672046422958374,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
87,110.83601863,2.0,1738973881.9640882,,0.7468037009239197,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
88,110.909706698,2.0,1738973882.0377054,,0.637210488319397,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
89,110.980808813,2.0,1738973882.1088336,,0.6453755497932434,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
90,111.02358364,2.0,1738973882.1515055,,0.666361391544342,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
91,111.060187295,2.0,1738973882.1882696,,0.7644613981246948,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
92,111.115005107,2.0,1738973882.2430308,,0.6829439401626587,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
93,111.162007506,2.0,1738973882.2901192,,0.7170703411102295,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
94,111.217616118,2.0,1738973882.345723,,0.6876638531684875,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
95,111.255009292,2.0,1738973882.3830602,,0.683366060256958,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
96,111.30783167,2.0,1738973882.4358633,,0.6509473919868469,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
97,111.37776971,2.0,1738973882.5057988,,0.6433513164520264,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
98,111.438789246,2.0,1738973882.5669167,,0.7276875972747803,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
99,111.492559837,2.0,1738973882.620666,,0.7442114353179932,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
100,111.532716107,2.0,1738973882.6608462,,0.6972257494926453,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
