_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,9.787452086,2.0,1738962195.6464567,,,,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
1,27.904447551,2.0,1738962213.7635753,0.2995,,,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
2,27.95732008,2.0,1738962213.8162441,,0.9619331359863281,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
3,28.112478562,2.0,1738962213.9714005,,1.0909428596496582,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
4,28.206653915,2.0,1738962214.0655217,,1.1370882987976074,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
5,28.293795201000002,2.0,1738962214.1526985,,1.0321235656738281,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
6,28.390701223,2.0,1738962214.2495258,,1.2334338426589966,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
7,28.486781822,2.0,1738962214.3455791,,1.05426824092865,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
8,28.582634838,2.0,1738962214.441409,,1.345794677734375,0.625,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
9,28.655990953,2.0,1738962214.5148804,,1.1660022735595703,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
10,28.731476739,2.0,1738962214.5903673,,1.0133143663406372,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
11,28.801243495,2.0,1738962214.6601336,,1.1395995616912842,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
12,28.872109446,2.0,1738962214.7309606,,1.1226990222930908,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
13,28.934802044,2.0,1738962214.7936482,,1.2371381521224976,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
14,29.01771821,2.0,1738962214.876587,,1.1682944297790527,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
15,29.091447011,2.0,1738962214.9502344,,1.0305370092391968,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
16,29.160786249,2.0,1738962215.0197113,,1.1039105653762817,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
17,29.223794282,2.0,1738962215.082719,,0.959292471408844,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
18,29.296065666,2.0,1738962215.1548586,,1.069177269935608,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
19,29.378611008,2.0,1738962215.2374902,,1.0441129207611084,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
20,29.446768113,2.0,1738962215.3056657,,1.0737035274505615,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
21,29.517325801,2.0,1738962215.3762083,,1.0835411548614502,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
22,29.581959331,2.0,1738962215.4408743,,1.0061174631118774,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
23,29.660051292,2.0,1738962215.518928,,1.0058397054672241,1.0,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
24,29.731559104,2.0,1738962215.5904486,,0.963659405708313,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
25,29.823346126,2.0,1738962215.6820464,,1.0790289640426636,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
26,29.89937753,2.0,1738962215.7582972,,1.0915237665176392,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
27,29.971827342,2.0,1738962215.8307366,,0.9331721067428589,1.0,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
28,30.066058415,2.0,1738962215.9248478,,0.9419558644294739,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
29,30.158330745,2.0,1738962216.0171628,,0.9865872859954834,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
30,30.237067968,2.0,1738962216.095961,,1.102264642715454,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
31,30.308634795,2.0,1738962216.1675968,,1.017243504524231,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
32,30.380260088,2.0,1738962216.239223,,1.1271586418151855,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
33,30.452151682,2.0,1738962216.3110566,,1.0879192352294922,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
34,30.524911219,2.0,1738962216.3836758,,1.2021104097366333,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
35,30.592738583,2.0,1738962216.4516747,,1.1311144828796387,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
36,30.658838881,2.0,1738962216.517596,,1.0165961980819702,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
37,30.734979938,2.0,1738962216.5938854,,0.9839301109313965,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
38,30.801162734000002,2.0,1738962216.66006,,1.0384823083877563,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
39,30.865800053,2.0,1738962216.7247288,,1.0150082111358643,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
40,30.933169394,2.0,1738962216.792066,,0.8686953783035278,0.9375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
41,30.998709182,2.0,1738962216.8576007,,1.1311533451080322,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
42,31.061352071,2.0,1738962216.920152,,1.0641376972198486,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
43,31.123229307,2.0,1738962216.9821084,,1.0426684617996216,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
44,31.19835691,2.0,1738962217.0572712,,1.1267787218093872,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
45,31.271429989,2.0,1738962217.1303034,,1.0718153715133667,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
46,31.337803265,2.0,1738962217.1966355,,1.063192367553711,0.875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,5,4000,5,exp1_permuted_src_datasets
