_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.750463015,2.0,1738936663.581468,,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
1,105.691116271,2.0,1738936760.5222037,0.5075,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
2,105.707709568,2.0,1738936760.5386357,,1.4871699810028076,0.875,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
3,105.803013513,2.0,1738936760.6339045,,1.437557339668274,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
4,105.825115542,2.0,1738936760.656031,,1.4515795707702637,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
5,105.850010497,2.0,1738936760.6809454,,1.4427788257598877,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
6,105.867889665,2.0,1738936760.698877,,1.4302581548690796,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
7,105.886286189,2.0,1738936760.7172065,,1.4388148784637451,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
8,105.904050272,2.0,1738936760.7349703,,1.4423819780349731,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
9,105.921599736,2.0,1738936760.7525783,,1.4152181148529053,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
10,105.941814269,2.0,1738936760.7727718,,1.4057894945144653,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
11,105.958071392,2.0,1738936760.7890315,,1.4130322933197021,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
12,105.976439195,2.0,1738936760.807357,,1.3914471864700317,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
13,106.00114677,2.0,1738936760.8320577,,1.4146066904067993,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
14,106.021587606,2.0,1738936760.8525052,,1.4406176805496216,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
15,106.042513268,2.0,1738936760.8734107,,1.3896647691726685,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
16,106.062191983,2.0,1738936760.893047,,1.4115718603134155,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
17,106.082902473,2.0,1738936760.9137092,,1.3839211463928223,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
18,106.106202837,2.0,1738936760.9370925,,1.3869141340255737,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
19,106.128865396,2.0,1738936760.959615,,1.3799175024032593,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
20,106.146211435,2.0,1738936760.9771097,,1.3811476230621338,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
21,106.173965602,2.0,1738936761.004761,,1.4332326650619507,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
22,106.197024363,2.0,1738936761.0279732,,1.383548617362976,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
23,106.219343479,2.0,1738936761.05022,,1.3815996646881104,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
24,106.243504534,2.0,1738936761.074404,,1.3789856433868408,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
25,106.269377563,2.0,1738936761.100284,,1.3890992403030396,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
26,106.293410231,2.0,1738936761.124254,,1.3763556480407715,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
27,106.31781436200001,2.0,1738936761.148732,,1.3770363330841064,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
28,106.343039456,2.0,1738936761.1738706,,1.3859214782714844,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
29,106.368134246,2.0,1738936761.199057,,1.380847454071045,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
30,106.39250438,2.0,1738936761.22339,,1.3744571208953857,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
31,106.414835672,2.0,1738936761.2455506,,1.3827252388000488,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
32,106.436321878,2.0,1738936761.2671628,,1.3779678344726562,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
33,106.458405207,2.0,1738936761.289248,,1.3784409761428833,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
34,106.476530641,2.0,1738936761.307481,,1.4312822818756104,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
35,106.497780312,2.0,1738936761.3287413,,1.378980040550232,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
36,106.524438776,2.0,1738936761.3551903,,1.4309037923812866,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
37,106.542960719,2.0,1738936761.3738403,,1.431975245475769,0.875,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
38,106.561417417,2.0,1738936761.392289,,1.3762006759643555,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets
