_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.1397660290000005,2.0,1739128928.5598612,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
1,16.532287874,2.0,1739128938.952552,0.534,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
2,16.551055988,2.0,1739128938.9712343,,0.9625741243362427,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
3,16.637217428,2.0,1739128939.0573597,,1.1731343269348145,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
4,16.664694709,2.0,1739128939.0848927,,1.0852588415145874,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
5,16.691712339,2.0,1739128939.11194,,1.1885040998458862,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
6,16.718568992,2.0,1739128939.1387858,,0.9899898767471313,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
7,16.746814398,2.0,1739128939.1669571,,0.9654710292816162,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
8,16.774491305,2.0,1739128939.1946652,,1.0416885614395142,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
9,16.80607537,2.0,1739128939.2262466,,1.1406883001327515,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
10,16.835778353,2.0,1739128939.2559555,,1.042260766029358,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
11,16.866764494999998,2.0,1739128939.2869477,,1.0906102657318115,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
12,16.893481514,2.0,1739128939.313687,,1.0353761911392212,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
13,16.920954871,2.0,1739128939.341163,,1.0497313737869263,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
14,16.948522031,2.0,1739128939.3687353,,0.9623287320137024,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
15,16.978630151,2.0,1739128939.3986292,,0.9294929504394531,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
16,17.004173205,2.0,1739128939.4243994,,1.0274617671966553,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
17,17.027760706,2.0,1739128939.4479566,,1.0404133796691895,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
18,17.052707291,2.0,1739128939.4729295,,0.9945043325424194,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
19,17.077898385,2.0,1739128939.4981282,,1.0192632675170898,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
20,17.103540926,2.0,1739128939.5237377,,0.9391375184059143,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
21,17.128991673,2.0,1739128939.54919,,0.9525855779647827,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
22,17.156010581,2.0,1739128939.5762234,,0.901214063167572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
23,17.187148342,2.0,1739128939.607348,,0.8919360041618347,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,5,4000,5,exp1_permuted_src_datasets
