_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.035725624,2.0,1739101288.3267074,,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
1,74.562134713,2.0,1739101355.853354,0.5610500005483627,,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
2,74.578258964,2.0,1739101355.86938,,0.8305179476737976,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
3,74.658880322,2.0,1739101355.949956,,0.6132820844650269,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
4,74.676700194,2.0,1739101355.967886,,0.41523808240890503,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
5,74.694590979,2.0,1739101355.985706,,0.27432504296302795,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
6,74.731351461,2.0,1739101356.0223,,0.16585806012153625,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
7,74.757294352,2.0,1739101356.0483897,,0.10730109363794327,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
8,74.774851791,2.0,1739101356.0659814,,0.06089929863810539,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
9,74.807775459,2.0,1739101356.0988421,,0.0393560416996479,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
10,74.835913113,2.0,1739101356.127074,,0.02200581505894661,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
11,74.856923475,2.0,1739101356.1480346,,0.014292038977146149,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
12,74.880188511,2.0,1739101356.17129,,0.009599408134818077,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
13,74.897712275,2.0,1739101356.1889088,,0.005315483547747135,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
14,74.914461231,2.0,1739101356.2056627,,0.004168542101979256,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
15,74.931825005,2.0,1739101356.222976,,0.002578300191089511,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
16,74.951958923,2.0,1739101356.2431111,,0.0018994476413354278,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
17,74.97880855,2.0,1739101356.2699666,,0.001389089971780777,1.0,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,1,4000,5,exp1_permuted_src_datasets
