_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.307683305,2.0,1739106001.8324647,,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
1,67.956492447,2.0,1739106062.4813097,0.85475,,,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
2,67.985479148,2.0,1739106062.5101426,,1.1346858739852905,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
3,68.097168548,2.0,1739106062.621859,,1.1811707019805908,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
4,68.149598405,2.0,1739106062.6742253,,1.1376373767852783,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
5,68.189808632,2.0,1739106062.7144284,,1.095842957496643,0.9375,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
6,68.232188516,2.0,1739106062.756796,,1.1159709692001343,0.8125,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
7,68.272955114,2.0,1739106062.7976513,,1.0312399864196777,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
8,68.314877645,2.0,1739106062.8394399,,1.0468599796295166,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
9,68.356200161,2.0,1739106062.8808892,,1.0128874778747559,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
10,68.397546875,2.0,1739106062.9222097,,0.8965995907783508,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
11,68.439431008,2.0,1739106062.964081,,0.9680547118186951,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
12,68.485932628,2.0,1739106063.0105984,,1.002210259437561,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
13,68.527004586,2.0,1739106063.051673,,0.9411535859107971,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
14,68.568922418,2.0,1739106063.093555,,0.9915438890457153,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
15,68.623483025,2.0,1739106063.148118,,0.9597165584564209,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
16,68.675750584,2.0,1739106063.2003198,,0.9444424510002136,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
17,68.718144722,2.0,1739106063.2427819,,0.8084837198257446,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
18,68.759212275,2.0,1739106063.2839174,,0.8526031374931335,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
19,68.81369369,2.0,1739106063.3383548,,0.8135715126991272,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
20,68.858415166,2.0,1739106063.3831065,,0.834307849407196,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
21,68.898246354,2.0,1739106063.4229646,,0.8815256357192993,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
22,68.938510393,2.0,1739106063.4631763,,0.7503407597541809,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
23,68.977863034,2.0,1739106063.5025651,,0.7003433108329773,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
24,69.019674471,2.0,1739106063.5443516,,0.7305586934089661,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
25,69.059854201,2.0,1739106063.5845375,,0.6983039379119873,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
26,69.099614609,2.0,1739106063.6243029,,0.6521881222724915,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
27,69.142370201,2.0,1739106063.6669662,,0.7266490459442139,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
28,69.186666686,2.0,1739106063.7113044,,0.6399511694908142,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
29,69.228171614,2.0,1739106063.7528577,,0.6040817499160767,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
30,69.275841787,2.0,1739106063.8004923,,0.7276302576065063,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
31,69.327084005,2.0,1739106063.8517146,,0.6132088899612427,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
32,69.385481532,2.0,1739106063.9101293,,0.5456687808036804,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
33,69.429155999,2.0,1739106063.9538274,,0.5332359671592712,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
34,69.491477081,2.0,1739106064.0161145,,0.5858557224273682,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
35,69.532400803,2.0,1739106064.0570867,,0.6206230521202087,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
36,69.573885647,2.0,1739106064.0985694,,0.6717467904090881,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
37,69.615037741,2.0,1739106064.139691,,0.5235592126846313,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
38,69.657053236,2.0,1739106064.18167,,0.46095263957977295,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
39,69.708388203,2.0,1739106064.2330427,,0.4730619490146637,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
40,69.750684985,2.0,1739106064.2753308,,0.5491642951965332,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
41,69.792894142,2.0,1739106064.3175695,,0.4764362573623657,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
42,69.838258094,2.0,1739106064.3629694,,0.4186905324459076,1.0,0.001,1,16,28x28,MatchingNetwork,5,5,omniglot_SOTA_trainvalSet,miniImageNet_SOTA_trainSet,False,10,4000,5,exp1_permuted_src_datasets
