_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,70.13427596,0.0,1739233187.430329,,,,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
1,70.27682142,0.0,1739233187.572776,0.0,,,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
2,70.680504286,0.0,1739233187.976488,,0.7867763638496399,0.8125,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
3,70.721837929,0.0,1739233187.9766889,,,,0.001,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
4,71.082963664,0.0,1739233188.3776674,,0.6535375118255615,1.0,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
5,71.082994764,0.0,1739233188.379121,,,,0.0009999990000010002,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
6,71.406187471,0.0,1739233188.7016685,,0.7286995053291321,1.0,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
7,71.406235746,0.0,1739233188.7023664,,,,0.0009999970000070001,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
8,71.714870457,0.0,1739233189.010059,,0.6430851221084595,0.8125,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
9,71.714909769,0.0,1739233189.0109923,,,,0.0009999940000250001,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
10,72.017198628,0.0,1739233189.3127499,,0.5006865859031677,1.0,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
11,72.017248914,0.0,1739233189.3133316,,,,0.000999990000065,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
12,72.339881319,0.0,1739233189.63524,,0.530570387840271,0.9375,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
13,72.339914215,0.0,1739233189.6360571,,,,0.0009999850001399992,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
14,72.64879537,0.0,1739233189.9441733,,0.49521762132644653,0.9375,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
15,72.648826103,0.0,1739233189.9449563,,,,0.0009999790002659977,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
16,72.978011134,0.0,1739233190.2738733,,0.5498992204666138,0.875,,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
17,72.97803924,0.0,1739233190.2741845,,,,0.0009999720004619944,,,,,0.001,1,16,84x84,MatchingNetwork,3,3,BreaKHis_formatted,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
