_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,11.96219164,2.0,1739077205.1909735,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
1,1186.445164514,2.0,1739078379.634786,0.9049500024318695,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
2,1186.465930163,2.0,1739078379.6946845,,0.2758966386318207,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
3,1186.578678473,2.0,1739078379.807389,,0.18854784965515137,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
4,1186.628508441,2.0,1739078379.8571966,,0.11920859664678574,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
5,1186.698193996,2.0,1739078379.9268198,,0.0029023331589996815,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
6,1186.756045166,2.0,1739078379.984745,,0.023451272398233414,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
7,1186.836642029,2.0,1739078380.0652711,,0.00024966528872027993,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
8,1186.912475059,2.0,1739078380.1412,,0.00013969375868327916,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
9,1186.990362068,2.0,1739078380.2190802,,0.00020691609825007617,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
10,1187.058961573,2.0,1739078380.2876024,,0.0005084596341475844,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
11,1187.113444143,2.0,1739078380.342115,,0.00016268869512714446,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
12,1187.210976326,2.0,1739078380.4396362,,0.0001677999971434474,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
13,1187.264953619,2.0,1739078380.4936066,,7.927829574327916e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
14,1187.311800281,2.0,1739078380.540488,,8.503644494339824e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
15,1187.35934903,2.0,1739078380.5880132,,2.9640894354088232e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
16,1187.409391807,2.0,1739078380.6380649,,0.00010699682025006041,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
17,1187.480677483,2.0,1739078380.7093432,,1.912349216581788e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
18,1187.541400941,2.0,1739078380.7700045,,7.587177969980985e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
19,1187.606836714,2.0,1739078380.8354058,,3.099011519225314e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
20,1187.686804785,2.0,1739078380.915477,,2.5456178263993934e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
21,1187.792828809,2.0,1739078381.021437,,1.7700618627713993e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
22,1187.8528998,2.0,1739078381.0815744,,1.5070969311636873e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
23,1187.898859922,2.0,1739078381.1274586,,1.9605859051807784e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
24,1187.953551232,2.0,1739078381.1822767,,2.092439535772428e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
25,1188.016534734,2.0,1739078381.2452226,,1.7461721654399298e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
26,1188.080753969,2.0,1739078381.3094695,,1.6695645172148943e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
27,1188.125451269,2.0,1739078381.3541486,,2.0072726329090074e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
28,1188.171186647,2.0,1739078381.3998723,,1.1867892681038938e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
29,1188.253101114,2.0,1739078381.4817731,,7.606724011566257e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
30,1188.333065777,2.0,1739078381.5617323,,3.095219290116802e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
31,1188.393648442,2.0,1739078381.6223636,,2.083203253278043e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
32,1188.439365618,2.0,1739078381.6680741,,1.831121880968567e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
33,1188.513974862,2.0,1739078381.7426112,,2.1724827092839405e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
34,1188.566558939,2.0,1739078381.7952614,,9.480669177719392e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
35,1188.635058685,2.0,1739078381.8637848,,2.101700556522701e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
36,1188.679341335,2.0,1739078381.9080906,,9.632578439777717e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
37,1188.726657859,2.0,1739078381.9553561,,2.6280908059561625e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
38,1188.779438661,2.0,1739078382.008151,,7.340014235523995e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
39,1188.870103509,2.0,1739078382.0987303,,1.5725221601314843e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
40,1188.918703386,2.0,1739078382.1474144,,2.2720438209944405e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
41,1188.964771242,2.0,1739078382.1935225,,6.115184987720568e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
42,1189.029202851,2.0,1739078382.257853,,6.427775133488467e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
43,1189.100471696,2.0,1739078382.3291564,,7.697660294070374e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
44,1189.199450281,2.0,1739078382.4280968,,8.515647095919121e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
45,1189.252183947,2.0,1739078382.4808013,,3.677484755826299e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
46,1189.29282098,2.0,1739078382.5215092,,2.1292093151714653e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
47,1189.333970841,2.0,1739078382.5626802,,2.195246452174615e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
48,1189.383010255,2.0,1739078382.6117043,,7.43964983485057e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
49,1189.425054293,2.0,1739078382.6537523,,1.2109389899706002e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
50,1189.467762342,2.0,1739078382.696454,,1.2842539945268072e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
51,1189.513051411,2.0,1739078382.741794,,4.607220489560859e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
52,1189.557885834,2.0,1739078382.7865806,,1.1244762390560936e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
53,1189.640774223,2.0,1739078382.8694184,,4.960408205079148e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
54,1189.69514296,2.0,1739078382.9238179,,4.553672170004575e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
55,1189.742341642,2.0,1739078382.9710267,,4.5209171730675735e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
56,1189.804263329,2.0,1739078383.0329897,,1.1521728993102442e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
57,1189.860321493,2.0,1739078383.0890288,,3.721258326550014e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
58,1189.90496226,2.0,1739078383.1336648,,7.194072622951353e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
