_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,38.2030573,2.0,1739074112.522384,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
1,800.135902292,2.0,1739074874.4554305,0.8662000005245208,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
2,800.172210693,2.0,1739074874.491605,,0.012005167081952095,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
3,800.268746085,2.0,1739074874.588166,,1.2293205145397224e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
4,800.322042132,2.0,1739074874.6413922,,2.100340134347789e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
5,800.391354298,2.0,1739074874.710812,,1.3399879208009224e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
6,800.45213752,2.0,1739074874.7715662,,1.0380326784797944e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
7,800.518158473,2.0,1739074874.837474,,2.5121651560766622e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
8,800.591407735,2.0,1739074874.9107506,,3.621511859819293e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
9,800.668990974,2.0,1739074874.9883785,,2.313055119884666e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
10,800.740285662,2.0,1739074875.0596397,,3.7711754430347355e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
11,800.81303974,2.0,1739074875.1323955,,3.2476884371135384e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
12,800.854293433,2.0,1739074875.1736112,,7.532288691436406e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
13,800.899418817,2.0,1739074875.218778,,1.250152308784891e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
14,800.941455213,2.0,1739074875.2608519,,8.007125870790333e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,omniglot_SOTA_trainvalSet,False,5,4000,5,exp1_permuted_src_datasets
