_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.168238881,2.0,1739078694.1876369,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
1,12.579374029,2.0,1739078702.5988505,0.7525,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
2,12.61763877,2.0,1739078702.6370056,,0.9717829823493958,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
3,12.757030656,2.0,1739078702.7762604,,1.244415283203125,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
4,12.815751217,2.0,1739078702.8351007,,0.930794358253479,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
5,12.876017204,2.0,1739078702.8953662,,0.8891373872756958,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
6,12.937119009,2.0,1739078702.9564788,,0.8076637387275696,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
7,13.004013256,2.0,1739078703.023291,,0.8794284462928772,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
8,13.051192981,2.0,1739078703.070524,,0.7749347686767578,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
9,13.102511495,2.0,1739078703.1216981,,0.907933235168457,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
10,13.1524713,2.0,1739078703.171816,,0.767094612121582,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
