_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.894314821,2.0,1739083005.5906727,,,,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
1,923.489590761,2.0,1739083922.143573,0.3386499992609024,,,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
2,923.588383817,2.0,1739083922.2846534,,61.57080078125,0.574999988079071,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
3,923.823238624,2.0,1739083922.5195374,,47.27996063232422,0.6000000238418579,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
4,924.012653265,2.0,1739083922.7089827,,43.329734802246094,0.625,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
5,924.177998091,2.0,1739083922.8743007,,33.533775329589844,0.637499988079071,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
6,924.358830435,2.0,1739083923.0550826,,33.98986053466797,0.699999988079071,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
7,924.536828291,2.0,1739083923.2331364,,30.022960662841797,0.6625000238418579,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
8,924.705515423,2.0,1739083923.4017997,,25.708515167236328,0.6000000238418579,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
9,924.892279027,2.0,1739083923.588488,,26.76620864868164,0.5625,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
10,925.105786004,2.0,1739083923.8020887,,17.61489486694336,0.6499999761581421,0.001,1,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,omniglot_SOTA_trainvalSet,False,10,4000,5,exp1_permuted_src_datasets
