_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.752593517303467,0.0,1735567178.8428185,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
1,1175.0487265586853,0.0,1735568345.1389515,0.8884999985694886,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
2,1175.2623851299286,0.0,1735568345.35261,,0.20009271800518036,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
3,1175.331806898117,0.0,1735568345.4220319,,9.287543434766121e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
4,1175.3948078155518,0.0,1735568345.4850328,,5.367765697883442e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
5,1175.4502770900726,0.0,1735568345.540502,,0.00011140507558593526,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
6,1175.5009243488312,0.0,1735568345.5911493,,2.1674562958651222e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
7,1175.5524280071259,0.0,1735568345.642653,,0.00011802560038631782,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
8,1175.6061081886292,0.0,1735568345.6963332,,2.54294336627936e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
9,1175.6467909812927,0.0,1735568345.737016,,0.00041759604937396944,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
10,1175.6904673576355,0.0,1735568345.7806923,,9.221226355293766e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
11,1175.7444994449615,0.0,1735568345.8347244,,3.0828108720015734e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
12,1175.8064465522766,0.0,1735568345.8966715,,0.0007342089666053653,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
13,1175.846487045288,0.0,1735568345.936712,,7.549367182946298e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
14,1175.8901357650757,0.0,1735568345.9803607,,1.3778168067801744e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
15,1175.9563279151917,0.0,1735568346.046553,,0.00011861063831020147,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
16,1176.0097587108612,0.0,1735568346.0999837,,4.784026532433927e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
17,1176.0744173526764,0.0,1735568346.1646423,,1.205470425702515e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
18,1176.1397306919098,0.0,1735568346.2299557,,1.6748351754358737e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
19,1176.1898922920227,0.0,1735568346.2801173,,1.4245263173506828e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,TKH,False,5,4000,2,exp1_permuted_src_datasets
