_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,2.590217351913452,0.0,1734547586.0972083,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
1,4.6591315269470215,0.0,1734547588.1661224,0.5815,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
2,4.667241811752319,0.0,1734547588.1742327,,1.4098985195159912,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
3,4.695516109466553,0.0,1734547588.202507,,1.433241367340088,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
4,4.704946041107178,0.0,1734547588.211937,,1.387579321861267,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
5,4.714117527008057,0.0,1734547588.2211084,,1.4600828886032104,0.5625,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
6,4.723153591156006,0.0,1734547588.2301445,,1.45847749710083,0.4375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
7,4.732115983963013,0.0,1734547588.239107,,1.4313431978225708,0.5,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
8,4.741017818450928,0.0,1734547588.2480087,,1.4129045009613037,0.5625,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
9,4.749866485595703,0.0,1734547588.2568574,,1.386380672454834,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
10,4.758812665939331,0.0,1734547588.2658036,,1.3886959552764893,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
11,4.7676661014556885,0.0,1734547588.274657,,1.4241396188735962,0.375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
12,4.776816368103027,0.0,1734547588.2838073,,1.3832652568817139,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
