_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.6033689975738525,0.0,1734835701.460453,,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
1,7.631201982498169,0.0,1734835705.488286,0.32375,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
2,7.648437738418579,0.0,1734835705.5055218,,1.1817224025726318,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
3,7.674407958984375,0.0,1734835705.531492,,1.0331056118011475,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
4,7.699514150619507,0.0,1734835705.5565982,,1.0369477272033691,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
5,7.724484205245972,0.0,1734835705.5815682,,1.0180519819259644,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
6,7.749953985214233,0.0,1734835705.607038,,1.0332690477371216,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
7,7.775219678878784,0.0,1734835705.6323037,,1.029610514640808,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
8,7.800060510635376,0.0,1734835705.6571445,,1.0423595905303955,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
9,7.825423240661621,0.0,1734835705.6825073,,1.0882500410079956,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
10,7.850513458251953,0.0,1734835705.7075975,,0.9531309008598328,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
11,7.875633239746094,0.0,1734835705.7327173,,1.0115312337875366,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
12,7.900932312011719,0.0,1734835705.7580163,,0.9862989783287048,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
13,7.925849676132202,0.0,1734835705.7829337,,0.9804316759109497,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
14,7.950908899307251,0.0,1734835705.807993,,0.9195894598960876,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
15,7.975595712661743,0.0,1734835705.8326797,,0.9815811514854431,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
16,7.99993371963501,0.0,1734835705.8570178,,0.9839668273925781,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
17,8.024710893630981,0.0,1734835705.881795,,1.005674958229065,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
18,8.049044370651245,0.0,1734835705.9061284,,0.9369340538978577,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
19,8.073263883590698,0.0,1734835705.930348,,0.9412574768066406,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
20,8.097747802734375,0.0,1734835705.9548318,,0.9983067512512207,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
21,8.122262954711914,0.0,1734835705.979347,,1.007571816444397,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
22,8.146559715270996,0.0,1734835706.0036438,,0.8753708600997925,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
23,8.170846700668335,0.0,1734835706.0279307,,1.0650047063827515,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
24,8.195159435272217,0.0,1734835706.0522435,,0.9700998067855835,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
25,8.219793558120728,0.0,1734835706.0768776,,0.9705764055252075,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
26,8.24399447441101,0.0,1734835706.1010785,,0.9312269687652588,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
27,8.268012762069702,0.0,1734835706.1250968,,0.9483376741409302,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
28,8.292088270187378,0.0,1734835706.1491723,,0.8966110348701477,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
29,8.31686520576477,0.0,1734835706.1739492,,0.9483515620231628,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
30,8.341471195220947,0.0,1734835706.1985552,,0.9690083265304565,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
31,8.367863416671753,0.0,1734835706.2249475,,0.9951565861701965,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
32,8.392663478851318,0.0,1734835706.2497475,,0.9187552332878113,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
33,8.417450189590454,0.0,1734835706.2745342,,1.0329515933990479,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
